Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,0,1.17066e+08,0,3.64452e+07,1.17066e+08,117066000.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,0,1.09511e+08,0,3.60634e+07,1.09511e+08,109511000.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,0,1.23898e+08,0,3.67215e+07,1.23898e+08,123898000.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,0,1.18782e+08,0,3.62684e+07,1.18782e+08,118782000.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,0,1.41806e+08,0,3.68459e+07,1.48771e+08,141806000.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,0,1.11967e+08,0,3.74719e+07,1.16255e+08,111967000.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,0,1.26967e+08,0,4.48753e+07,1.32594e+08,126967000.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,0,9.40754e+07,0,3.62571e+07,9.94114e+07,94075400.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,0,1.18724e+08,0,2.88639e+07,1.23159e+08,118724000.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,0,8.62463e+07,0,2.78408e+07,9.06859e+07,86246300.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,0,1.13245e+08,0,2.79921e+07,1.18715e+08,113245000.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,0,8.76717e+07,0,2.7097e+07,9.34661e+07,87671700.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,0,1.16804e+08,0,2.76452e+07,1.21392e+08,116804000.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,0,8.49471e+07,0,2.70099e+07,9.06057e+07,84947100.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,0,1.07145e+08,0,2.7946e+07,1.1305e+08,107145000.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,0,8.43907e+07,0,2.78853e+07,8.88378e+07,84390700.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,0,1.07992e+08,0,3.15618e+07,1.12422e+08,107992000.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,0,8.56771e+07,0,4.53108e+07,9.06007e+07,85677100.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,0,1.1993e+08,0,4.27894e+07,1.2521e+08,119930000.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,0,8.9542e+07,0,4.21681e+07,9.01298e+07,89542000.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,0,1.14797e+08,0,4.27835e+07,1.16338e+08,114797000.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,0,8.93383e+07,0,4.21613e+07,8.93383e+07,89338300.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,0,1.20403e+08,0,4.28066e+07,1.20403e+08,120403000.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,0,8.99451e+07,0,4.21732e+07,8.99451e+07,89945100.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,0,1.10265e+08,0,4.12369e+07,1.10265e+08,110265000.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,0,8.46413e+07,0,4.06075e+07,8.46413e+07,84641300.0
01/02/2006 03:00,1,2,1,3,0,3.175,82.9167,0,1.11862e+08,0,4.2813e+07,1.11862e+08,111862000.0
01/02/2006 04:00,1,2,1,4,0,3.475,78.25,0,4.66169e+08,0,5.47033e+07,4.72002e+08,466169000.0
01/02/2006 05:00,1,2,1,5,0,3.83333,79.3333,0,4.16142e+08,0,6.17568e+07,4.21037e+08,416142000.0
01/02/2006 06:00,1,2,1,6,0,3.70833,82.1667,0,590834,0,1.1347e+08,8.63194e+06,590834.0
01/02/2006 07:00,1,2,1,7,0,3.61667,82.4167,0,2.81337e+08,0,2.16555e+08,2.90123e+08,281337000.0
01/02/2006 08:00,1,2,1,8,0,3.875,80.8333,0,2.15741e+08,0,2.27796e+08,2.26287e+08,215741000.0
