Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,6.27418e+07,0,37375.2,1.9706e+08,0,62741800.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,6.03248e+07,0,33479.5,1.93369e+08,0,60324800.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,6.48908e+07,0,41579.1,1.98197e+08,0,64890800.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,6.71937e+07,0,36150.1,2.00343e+08,1.5406e+06,67193700.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,6.89467e+07,0,25614.7,2.02302e+08,1.02973e+07,68946700.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,6.39312e+07,0,48521.9,1.9943e+08,7.51006e+06,63931200.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,5.41531e+07,0,49804.9,2.01385e+08,7.60699e+06,54153100.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,6.80355e+07,0,47342.3,2.0054e+08,7.70053e+06,68035500.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,5.54348e+07,0,57488.4,1.65933e+08,9.61861e+06,55434800.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,5.17947e+07,0,37470.3,1.59532e+08,7.82516e+06,51794700.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,4.95353e+07,0,7786.59,1.55035e+08,7.8094e+06,49535300.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,4.92144e+07,0,40537.5,1.55142e+08,9.63149e+06,49214400.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,5.31439e+07,0,11616.2,1.58413e+08,8.26597e+06,53143900.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,4.26365e+07,0,20687.9,1.48133e+08,1.02468e+07,42636500.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,5.40715e+07,0,0,1.63064e+08,8.58673e+06,54071500.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,4.64635e+07,0,25226.2,1.54981e+08,9.09062e+06,46463500.0
