Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,1.4953e+08,0,0,2.09741e+08,0,149530000.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,1.33154e+08,0,0,1.92282e+08,0,133154000.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,1.35815e+08,0,0,1.94943e+08,0,135815000.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,1.39928e+08,0,0,1.99056e+08,1.54049e+06,139928000.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,1.40927e+08,0,0,2.00061e+08,9.74076e+06,140927000.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,1.48938e+08,0,0,2.09739e+08,5.76483e+06,148938000.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,1.21125e+08,0,0,1.96395e+08,7.78456e+06,121125000.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,1.48553e+08,0,0,2.1128e+08,5.9148e+06,148553000.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,1.15671e+08,0,0,1.61643e+08,7.92764e+06,115671000.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,1.05704e+08,0,0,1.51417e+08,6.50638e+06,105704000.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,1.04212e+08,0,0,1.49894e+08,7.42349e+06,104212000.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,1.00621e+08,0,0,1.46227e+08,8.08984e+06,100621000.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,1.11319e+08,0,0,1.56941e+08,8.20383e+06,111319000.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,9.15642e+07,0,0,1.37247e+08,8.39287e+06,91564200.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,1.16431e+08,0,0,1.64151e+08,8.11727e+06,116431000.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,1.00876e+08,0,0,1.46772e+08,5.95626e+06,100876000.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,1.00406e+08,0,0,1.51402e+08,7.9056e+06,100406000.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,1.03889e+08,0,0,1.80826e+08,5.8416e+06,103889000.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,1.09237e+08,0,0,1.79147e+08,7.65547e+06,109237000.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,1.20848e+08,0,0,1.90754e+08,1.88973e+06,120848000.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,1.05829e+08,0,0,1.75732e+08,0,105829000.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,1.32936e+08,0,0,2.04862e+08,0,132936000.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,1.15725e+08,0,0,1.85629e+08,1.5405e+06,115725000.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,1.12832e+08,0,0,1.82736e+08,0,112832000.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,7.7531e+08,0,39663.4,8.59036e+08,1.31894e+07,775310000.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,3.85466e+08,0,0,4.69188e+08,8.30606e+06,385466000.0
01/02/2006 03:00,1,2,1,3,0,3.175,82.9167,1.88733e+07,0,0,8.84927e+07,3.553e+06,18873300.0
01/02/2006 04:00,1,2,1,4,0,3.475,78.25,3.45741e+08,0,14832.7,4.16254e+08,0,345741000.0
01/02/2006 05:00,1,2,1,5,0,3.83333,79.3333,6.29556e+08,0,0,7.09393e+08,1.04575e+07,629556000.0
01/02/2006 06:00,1,2,1,6,0,3.70833,82.1667,2.77816e+07,0,17240.7,1.3207e+08,9.0242e+06,27781600.0
01/02/2006 07:00,1,2,1,7,0,3.61667,82.4167,5.38509e+08,0,6624.77,7.07898e+08,1.4645e+07,538509000.0
01/02/2006 08:00,1,2,1,8,0,3.875,80.8333,3.88931e+08,0,0,5.7828e+08,1.73508e+07,388931000.0
01/02/2006 09:00,1,2,1,9,0,4.58333,77.0833,3.04606e+08,0,0,4.81783e+08,1.78034e+07,304606000.0
01/02/2006 10:00,1,2,1,10,0,5.23333,72.6667,2.56432e+08,0,0,4.31895e+08,1.83649e+07,256432000.0
01/02/2006 11:00,1,2,1,11,0,5.98333,66.9167,1.9835e+08,0,0,3.71437e+08,1.99054e+07,198350000.0
01/02/2006 12:00,1,2,1,12,0,7.15833,62.8333,1.29876e+08,0,40336.2,3.03101e+08,2.00053e+07,129876000.0
01/02/2006 13:00,1,2,1,13,0,8.51667,69,1.00669e+08,0,1.12165e+06,2.76452e+08,1.96036e+07,100669000.0
01/02/2006 14:00,1,2,1,14,0,9.33333,79.25,1.00486e+08,0,1.9978e+06,2.69702e+08,2.38975e+07,100486000.0
01/02/2006 15:00,1,2,1,15,0,10.4333,78.3333,6.88336e+07,0,3.27859e+06,2.42299e+08,2.21369e+07,68833600.0
01/02/2006 16:00,1,2,1,16,0,11.3917,73.8333,5.60673e+07,0,4.46375e+06,2.3361e+08,1.77499e+07,56067300.0
01/02/2006 17:00,1,2,1,17,0,10.6667,78.25,5.64648e+07,0,3.7976e+06,2.43135e+08,1.6127e+07,56464800.0
01/02/2006 18:00,1,2,1,18,0,10.0583,82,5.65785e+07,0,3.22867e+06,2.69638e+08,1.69445e+07,56578500.0
01/02/2006 19:00,1,2,1,19,0,10.625,80.25,4.44734e+07,0,3.95166e+06,2.61475e+08,1.81849e+07,44473400.0
01/02/2006 20:00,1,2,1,20,0,10.3583,83.6667,3.11529e+07,0,3.7551e+06,2.51345e+08,1.96479e+07,31152900.0
01/02/2006 21:00,1,2,1,21,0,9.84167,88.1667,5.32909e+07,0,3.23511e+06,2.51075e+08,1.79056e+07,53290900.0
01/02/2006 22:00,1,2,1,22,0,9.45,91.3333,1.07508e+08,0,2.18011e+06,2.41353e+08,1.35835e+07,107508000.0
01/02/2006 23:00,1,2,1,23,0,9.14167,93.5833,1.05288e+08,0,0,2.07776e+08,1.16551e+07,105288000.0
01/03/2006 00:00,1,3,2,0,0,9.33333,93.4167,1.40749e+08,0,0,2.4233e+08,1.00215e+07,140749000.0
01/03/2006 01:00,1,3,2,1,0,10.4333,91.25,1.20409e+08,0,0,2.02559e+08,1.14421e+07,120409000.0
01/03/2006 02:00,1,3,2,2,0,11.3333,89.4167,7.08306e+07,0,0,1.53324e+08,8.25963e+06,70830600.0
01/03/2006 03:00,1,3,2,3,0,11.5,89.5833,0,0,0,6.42042e+07,1.98041e+06,0.0
01/03/2006 04:00,1,3,2,4,0,10.625,91.75,1.08344e+08,0,0,1.75178e+08,0,108344000.0
01/03/2006 05:00,1,3,2,5,0,9.76667,94.75,1.55385e+08,0,0,2.32622e+08,1.01369e+07,155385000.0
01/03/2006 06:00,1,3,2,6,0,9.54167,95.4167,6.01817e+06,0,607902,1.13026e+08,1.13119e+07,6018170.0
01/03/2006 07:00,1,3,2,7,0,10.025,95,1.17418e+08,0,2.73661e+06,2.89537e+08,1.45551e+07,117418000.0
01/03/2006 08:00,1,3,2,8,0,10.6917,93.8333,5.79618e+07,0,4.16245e+06,2.51473e+08,1.7336e+07,57961800.0
01/03/2006 09:00,1,3,2,9,0,11.3083,91.25,2.38323e+07,0,5.094e+06,2.03357e+08,1.80443e+07,23832300.0
01/03/2006 10:00,1,3,2,10,0,11.075,91.75,1.62813e+07,0,5.13907e+06,1.9386e+08,1.81534e+07,16281300.0
01/03/2006 11:00,1,3,2,11,0,11.1083,91.25,1.21215e+07,0,5.41624e+06,1.90625e+08,1.86311e+07,12121500.0
01/03/2006 12:00,1,3,2,12,0,11.5167,89.4167,8.05675e+06,0,6.21553e+06,1.88007e+08,1.92949e+07,8056750.0
01/03/2006 13:00,1,3,2,13,0,11.95,87.8333,5.90266e+06,0,7.04918e+06,1.88437e+08,2.16046e+07,5902660.0
01/03/2006 14:00,1,3,2,14,0,13.25,84.0833,3.64201e+06,0,9.23856e+06,1.81198e+08,2.27477e+07,3642010.0
01/03/2006 15:00,1,3,2,15,0,14.1167,81.4167,68845,0,8.83595e+06,1.76528e+08,2.24859e+07,68845.0
01/03/2006 16:00,1,3,2,16,0,15.4833,77.5,0,0,1.53107e+07,1.88665e+08,1.74763e+07,0.0
01/03/2006 17:00,1,3,2,17,0,17.45,69.1667,0,0,1.88753e+07,2.00405e+08,1.65398e+07,0.0
01/03/2006 18:00,1,3,2,18,0,18.025,66.1667,0,0,1.52324e+07,2.17007e+08,1.71274e+07,0.0
01/03/2006 19:00,1,3,2,19,0,16.6167,72.25,0,0,1.03587e+07,2.15353e+08,1.78578e+07,0.0
01/03/2006 20:00,1,3,2,20,0,15.4083,76.5833,0,0,5.70665e+06,2.14088e+08,1.85246e+07,0.0
01/03/2006 21:00,1,3,2,21,0,14.2667,79.9167,1.10762e+06,0,5.16924e+06,1.95456e+08,1.75808e+07,1107620.0
01/03/2006 22:00,1,3,2,22,0,13.8917,82,4.42489e+06,0,8.81076e+06,1.44227e+08,1.37424e+07,4424890.0
01/03/2006 23:00,1,3,2,23,0,13.8083,83.75,6.99611e+06,0,647922,1.0516e+08,1.24402e+07,6996110.0
01/04/2006 00:00,1,4,3,0,0,14.475,82.0833,1.56591e+07,0,1.65545e+06,1.16548e+08,1.17275e+07,15659100.0
01/04/2006 01:00,1,4,3,1,0,12.9417,85.8333,2.04546e+07,0,580332,1.03185e+08,9.17149e+06,20454600.0
01/04/2006 02:00,1,4,3,2,0,11.6333,91.75,1.77484e+07,0,0,9.87113e+07,8.31737e+06,17748400.0
01/04/2006 03:00,1,4,3,3,0,10.8083,95.3333,0,0,0,6.21271e+07,3.59039e+06,0.0
01/04/2006 04:00,1,4,3,4,0,10.6833,95.8333,2.45837e+07,0,0,9.14178e+07,0,24583700.0
01/04/2006 05:00,1,4,3,5,0,11.2167,95,5.01973e+07,0,0,1.27435e+08,9.95332e+06,50197300.0
01/04/2006 06:00,1,4,3,6,0,11.1833,94.4167,3.2785e+06,0,2.93726e+06,1.12615e+08,1.07936e+07,3278500.0
01/04/2006 07:00,1,4,3,7,0,11.45,94.5833,2.96725e+07,0,5.35329e+06,2.04408e+08,1.44276e+07,29672500.0
01/04/2006 08:00,1,4,3,8,0,11.8167,94.4167,7.98947e+06,0,6.93022e+06,2.04269e+08,1.73335e+07,7989470.0
01/04/2006 09:00,1,4,3,9,0,11.2583,94.5833,8.29392e+06,0,6.10466e+06,1.8831e+08,1.78198e+07,8293920.0
01/04/2006 10:00,1,4,3,10,0,14.0667,84.5,1.00853e+06,0,6.78891e+06,1.74043e+08,1.81783e+07,1008530.0
01/04/2006 11:00,1,4,3,11,0,16.4,77.5833,0,0,1.46113e+07,1.79982e+08,1.86585e+07,0.0
01/04/2006 12:00,1,4,3,12,0,18.7333,68.0833,0,0,4.97517e+07,2.21557e+08,2.07187e+07,0.0
01/04/2006 13:00,1,4,3,13,0,21.6833,54.5833,0,0,8.18115e+07,2.58952e+08,2.02727e+07,0.0
01/04/2006 14:00,1,4,3,14,0,21.9,50.5833,0,0,8.8718e+07,2.63349e+08,2.27771e+07,0.0
01/04/2006 15:00,1,4,3,15,0,21.05,52.75,0,0,8.52711e+07,2.6531e+08,2.24239e+07,0.0
01/04/2006 16:00,1,4,3,16,0,19.925,56.9167,0,0,6.64559e+07,2.40437e+08,1.73991e+07,0.0
01/04/2006 17:00,1,4,3,17,0,18.6,61.3333,0,0,4.27503e+07,2.19515e+08,1.64512e+07,0.0
01/04/2006 18:00,1,4,3,18,0,17.1083,65.9167,0,0,2.17082e+07,2.2406e+08,1.7185e+07,0.0
01/04/2006 19:00,1,4,3,19,0,15.4083,75,0,0,6.94869e+06,2.12014e+08,1.7906e+07,0.0
01/04/2006 20:00,1,4,3,20,0,13.3583,85.25,0,0,1.60754e+06,2.09988e+08,1.93632e+07,0.0
01/04/2006 21:00,1,4,3,21,0,12.8083,89.5833,135792,0,890392,1.8752e+08,1.81869e+07,135792.0
01/04/2006 22:00,1,4,3,22,0,11.8167,92.3333,5.59348e+06,0,3.80219e+06,1.36359e+08,1.3691e+07,5593480.0
01/04/2006 23:00,1,4,3,23,0,10.9,95.75,2.99845e+06,0,0,1.04448e+08,1.23903e+07,2998450.0
