Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,0,3.38493e+07,117287,2.12307e+08,3.38493e+07,33849300.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,0,2.52707e+07,91688.2,2.06236e+08,2.52707e+07,25270700.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,0,3.69852e+07,143880,2.22717e+08,3.85259e+07,36985200.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,0,3.97961e+07,87361.2,2.1595e+08,3.97961e+07,39796100.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,0,5.31748e+07,150963,2.30571e+08,6.73535e+07,53174800.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,0,3.45583e+07,63485,2.20824e+08,4.25785e+07,34558300.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,0,3.4257e+07,115109,2.40195e+08,4.35973e+07,34257000.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,0,2.5048e+07,100067,2.01439e+08,3.52473e+07,25048000.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,0,2.71896e+07,127270,1.86174e+08,3.78742e+07,27189600.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,0,1.64694e+07,92521.8,1.67357e+08,2.59922e+07,16469400.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,0,1.6577e+07,248897,1.80686e+08,2.68011e+07,16577000.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,0,8.91986e+06,284037,1.66162e+08,1.99455e+07,8919860.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,0,1.78688e+07,181433,1.76086e+08,2.96844e+07,17868800.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,0,9.38045e+06,216248,1.67553e+08,2.14735e+07,9380450.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,0,1.62787e+07,184782,1.73327e+08,2.7826e+07,16278700.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,0,1.32455e+07,159347,1.72564e+08,2.29514e+07,13245500.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,0,2.42073e+07,83196.3,1.92163e+08,3.37053e+07,24207300.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,0,1.53576e+07,187863,2.32543e+08,2.47179e+07,15357600.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,0,2.55341e+07,69502.5,2.34148e+08,3.47249e+07,25534100.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,0,1.79156e+07,113840,2.27463e+08,2.12799e+07,17915600.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,0,2.83655e+07,112900,2.34181e+08,2.83655e+07,28365500.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,0,1.71114e+07,148117,2.27494e+08,1.86522e+07,17111400.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,0,2.58771e+07,59445.3,2.34127e+08,2.58771e+07,25877100.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,0,1.74387e+07,109901,2.27456e+08,1.74387e+07,17438700.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,0,6.37028e+08,1.11556e+06,5.95453e+08,6.57594e+08,637028000.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,0,2.96982e+08,336538,5.0748e+08,3.11391e+08,296982000.0
01/02/2006 03:00,1,2,1,3,0,3.175,82.9167,0,6.90611e+07,558974,3.29884e+08,7.87251e+07,69061100.0
01/02/2006 04:00,1,2,1,4,0,3.475,78.25,0,5.875e+06,195810,1.9156e+08,9.6795e+06,5875000.0
01/02/2006 05:00,1,2,1,5,0,3.83333,79.3333,0,8.54256e+06,264622,1.98034e+08,1.00831e+07,8542560.0
01/02/2006 06:00,1,2,1,6,0,3.70833,82.1667,0,7.3358e+06,71909.4,2.10697e+08,7.3358e+06,7335800.0
01/02/2006 07:00,1,2,1,7,0,3.61667,82.4167,1.21446e+06,5.53056e+08,1.48105e+06,4.23356e+08,5.63465e+08,554270460.0
01/02/2006 08:00,1,2,1,8,0,3.875,80.8333,101867,3.48728e+08,414921,4.37289e+08,3.60733e+08,348829867.0
01/02/2006 09:00,1,2,1,9,0,4.58333,77.0833,0,2.99667e+08,0,8.08034e+08,3.16418e+08,299667000.0
01/02/2006 10:00,1,2,1,10,0,5.23333,72.6667,0,7.49899e+07,0,1.36347e+09,1.00798e+08,74989900.0
01/02/2006 11:00,1,2,1,11,0,5.98333,66.9167,0,6.70623e+06,210517,1.41259e+09,3.47671e+07,6706230.0
01/02/2006 12:00,1,2,1,12,0,7.15833,62.8333,0,0,953274,1.40141e+09,2.86606e+07,0.0
01/02/2006 13:00,1,2,1,13,0,8.51667,69,0,0,963181,1.40565e+09,2.97028e+07,0.0
01/02/2006 14:00,1,2,1,14,0,9.33333,79.25,0,0,1.36858e+06,1.41065e+09,3.0773e+07,0.0
01/02/2006 15:00,1,2,1,15,0,10.4333,78.3333,0,0,1.10466e+06,1.40956e+09,3.46641e+07,0.0
01/02/2006 16:00,1,2,1,16,0,11.3917,73.8333,0,0,1.49568e+06,1.47182e+09,3.77968e+07,0.0
