Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,9.47543e+07,0,0,2.09362e+08,0,94754300.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,9.60762e+07,0,0,2.08431e+08,0,96076200.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,9.86883e+07,0,0,2.11043e+08,0,98688300.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,1.02367e+08,0,0,2.14722e+08,0,102367000.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,1.05325e+08,0,0,2.17687e+08,1.07595e+07,105325000.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,1.0055e+08,0,0,2.14535e+08,5.85566e+06,100550000.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,8.43586e+07,0,0,2.06632e+08,5.92781e+06,84358600.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,1.05381e+08,0,0,2.17949e+08,6.54655e+06,105381000.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,8.17484e+07,0,0,1.73772e+08,7.49492e+06,81748400.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,7.76655e+07,0,0,1.65356e+08,6.03882e+06,77665500.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,7.26163e+07,0,0,1.5862e+08,7.88981e+06,72616300.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,7.07381e+07,0,0,1.56304e+08,6.3943e+06,70738100.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,6.54068e+07,0,0,1.50973e+08,8.32294e+06,65406800.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,5.69084e+07,0,0,1.42474e+08,6.866e+06,56908400.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,7.50928e+07,0,0,1.6527e+08,7.81539e+06,75092800.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,7.07033e+07,0,0,1.61376e+08,6.0512e+06,70703300.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,7.29238e+07,0,0,1.72978e+08,8.02723e+06,72923800.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,7.7866e+07,0,0,2.01763e+08,5.91759e+06,77866000.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,8.13526e+07,0,0,2.0362e+08,5.82774e+06,81352600.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,7.93451e+07,0,0,2.01608e+08,1.92124e+06,79345100.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,7.19439e+07,0,0,1.94205e+08,0,71943900.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,9.90937e+07,0,0,2.24944e+08,1.54079e+06,99093700.0
