Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,0,6.32428e+06,175204,1.14707e+08,6.32428e+06,6324280.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,0,5.91224e+06,204057,1.17148e+08,5.91224e+06,5912240.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,0,9.93482e+06,142318,1.17057e+08,9.93482e+06,9934820.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,0,6.99575e+06,153274,1.17126e+08,6.99575e+06,6995750.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,0,1.10803e+07,121613,1.1737e+08,2.09917e+07,11080300.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,0,6.1345e+06,253857,1.18948e+08,1.23229e+07,6134500.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,0,9.06602e+06,141138,1.2546e+08,1.53335e+07,9066020.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,0,5.64062e+06,216114,1.1307e+08,1.19898e+07,5640620.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,0,6.52861e+06,185039,9.71572e+07,1.3975e+07,6528610.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,0,3.74039e+06,285688,9.59743e+07,1.12071e+07,3740390.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,0,4.99416e+06,195988,8.98403e+07,1.14436e+07,4994160.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,0,2.73079e+06,254516,9.08588e+07,9.26022e+06,2730790.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,0,3.97865e+06,161658,8.77371e+07,1.10405e+07,3978650.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,0,2.01033e+06,144439,8.6624e+07,1.05613e+07,2010330.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,0,3.07987e+06,193347,8.8594e+07,9.63413e+06,3079870.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,0,3.04408e+06,237767,9.23279e+07,9.45413e+06,3044080.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,0,5.32426e+06,160819,9.79308e+07,1.18865e+07,5324260.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,0,4.20862e+06,235276,1.25735e+08,1.09495e+07,4208620.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,0,6.18003e+06,152408,1.17267e+08,1.21087e+07,6180030.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,0,6.65327e+06,216968,1.26849e+08,9.87511e+06,6653270.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,0,6.90024e+06,157328,1.21912e+08,6.90024e+06,6900240.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,0,7.67692e+06,240710,1.23835e+08,7.67692e+06,7676920.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,0,7.75139e+06,158831,1.21713e+08,7.75139e+06,7751390.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,0,8.1867e+06,271711,1.25389e+08,8.1867e+06,8186700.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,3.28332e+06,2.23465e+08,953587,3.22052e+08,2.3541e+08,226748320.0
