Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,5.02153e+06,0,135669,1.01453e+08,0,5021530.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,4.9763e+06,0,197731,1.0408e+08,0,4976300.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,6.22581e+06,0,164739,1.04434e+08,0,6225810.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,5.46244e+06,0,172880,1.04542e+08,0,5462440.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,6.91388e+06,0,135125,1.05097e+08,9.55554e+06,6913880.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,5.59881e+06,0,152146,1.05945e+08,4.2444e+06,5598810.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,6.06558e+06,0,204206,1.1291e+08,6.44504e+06,6065580.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,5.01752e+06,0,211955,1.01753e+08,6.54235e+06,5017520.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,5.91006e+06,0,166630,8.60716e+07,5.19994e+06,5910060.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,4.76596e+06,0,154415,8.51598e+07,5.75305e+06,4765960.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,5.20286e+06,0,152001,7.91182e+07,6.62026e+06,5202860.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,4.41625e+06,0,209862,8.32143e+07,6.71869e+06,4416250.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,5.02553e+06,0,127030,7.7889e+07,6.32326e+06,5025530.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,4.2372e+06,0,204963,8.21145e+07,6.34973e+06,4237200.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,4.61771e+06,0,99626.1,7.72838e+07,5.58761e+06,4617710.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,4.69059e+06,0,188333,8.09435e+07,6.59422e+06,4690590.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,5.50707e+06,0,137449,8.94941e+07,6.54897e+06,5507070.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,4.8594e+06,0,190567,1.12042e+08,4.9911e+06,4859400.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,6.48791e+06,0,139651,1.08099e+08,5.66183e+06,6487910.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,5.46184e+06,0,191017,1.12548e+08,2.0893e+06,5461840.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,5.749e+06,0,118794,1.06147e+08,0,5749000.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,4.70096e+06,0,221080,1.12006e+08,0,4700960.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,5.39456e+06,0,134983,1.06222e+08,0,5394560.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,4.72928e+06,0,196871,1.11814e+08,1.54061e+06,4729280.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,4.32045e+06,0,135236,1.27062e+08,6.8e+06,4320450.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,3.96233e+06,0,194120,9.98077e+07,0,3962330.0
01/02/2006 03:00,1,2,1,3,0,3.175,82.9167,4.57036e+06,0,123897,1.01179e+08,0,4570360.0
01/02/2006 04:00,1,2,1,4,0,3.475,78.25,4.25844e+06,0,226175,1.08101e+08,0,4258440.0
01/02/2006 05:00,1,2,1,5,0,3.83333,79.3333,4.95928e+07,0,333091,1.73253e+08,0,49592800.0
01/02/2006 06:00,1,2,1,6,0,3.70833,82.1667,4.58614e+07,0,274362,2.39691e+08,8.40608e+06,45861400.0
01/02/2006 07:00,1,2,1,7,0,3.61667,82.4167,4.09579e+07,0,150145,2.98171e+08,7.17416e+06,40957900.0
01/02/2006 08:00,1,2,1,8,0,3.875,80.8333,2.36503e+07,0,0,5.3014e+08,8.79615e+06,23650300.0
01/02/2006 09:00,1,2,1,9,0,4.58333,77.0833,1.53708e+06,0,355123,8.05062e+08,1.19331e+07,1537080.0
01/02/2006 10:00,1,2,1,10,0,5.23333,72.6667,0,0,569516,7.86924e+08,1.2283e+07,0.0
01/02/2006 11:00,1,2,1,11,0,5.98333,66.9167,0,0,1.53387e+06,7.52202e+08,1.24979e+07,0.0
01/02/2006 12:00,1,2,1,12,0,7.15833,62.8333,0,0,3.30258e+06,7.39609e+08,1.31743e+07,0.0
01/02/2006 13:00,1,2,1,13,0,8.51667,69,0,0,4.68841e+06,7.40698e+08,1.51391e+07,0.0
01/02/2006 14:00,1,2,1,14,0,9.33333,79.25,0,0,6.24651e+06,7.38107e+08,1.57279e+07,0.0
01/02/2006 15:00,1,2,1,15,0,10.4333,78.3333,0,0,8.95612e+06,7.55024e+08,1.31755e+07,0.0
01/02/2006 16:00,1,2,1,16,0,11.3917,73.8333,0,0,1.11301e+07,7.93583e+08,1.17749e+07,0.0
01/02/2006 17:00,1,2,1,17,0,10.6667,78.25,0,0,1.31919e+07,8.43134e+08,1.18257e+07,0.0
01/02/2006 18:00,1,2,1,18,0,10.0583,82,0,0,1.42949e+07,8.65914e+08,1.24067e+07,0.0
01/02/2006 19:00,1,2,1,19,0,10.625,80.25,0,0,1.38789e+07,7.77079e+08,1.2327e+07,0.0
01/02/2006 20:00,1,2,1,20,0,10.3583,83.6667,0,0,8.17671e+06,5.02237e+08,1.03302e+07,0.0
01/02/2006 21:00,1,2,1,21,0,9.84167,88.1667,216965,0,2.95967e+06,3.2566e+08,8.25441e+06,216965.0
01/02/2006 22:00,1,2,1,22,0,9.45,91.3333,18559.1,0,1.69998e+06,2.92242e+08,7.77736e+06,18559.1
01/02/2006 23:00,1,2,1,23,0,9.14167,93.5833,0,0,1.55081e+06,2.45598e+08,7.68962e+06,0.0
01/03/2006 00:00,1,3,2,0,0,9.33333,93.4167,0,0,460652,2.07804e+08,6.91697e+06,0.0
01/03/2006 01:00,1,3,2,1,0,10.4333,91.25,0,0,0,1.23471e+08,4.56699e+06,0.0
01/03/2006 02:00,1,3,2,2,0,11.3333,89.4167,0,0,0,1.05374e+08,0,0.0
01/03/2006 03:00,1,3,2,3,0,11.5,89.5833,0,0,0,9.64324e+07,0,0.0
01/03/2006 04:00,1,3,2,4,0,10.625,91.75,0,0,0,8.98984e+07,0,0.0
01/03/2006 05:00,1,3,2,5,0,9.76667,94.75,0,0,33865.4,1.17826e+08,0,0.0
01/03/2006 06:00,1,3,2,6,0,9.54167,95.4167,44504,0,78647.2,1.40491e+08,7.94429e+06,44504.0
01/03/2006 07:00,1,3,2,7,0,10.025,95,10593.6,0,407261,2.33196e+08,7.08925e+06,10593.6
01/03/2006 08:00,1,3,2,8,0,10.6917,93.8333,34460.4,0,2.13597e+06,5.0866e+08,9.83501e+06,34460.4
01/03/2006 09:00,1,3,2,9,0,11.3083,91.25,0,0,1.04371e+07,7.86974e+08,1.19689e+07,0.0
01/03/2006 10:00,1,3,2,10,0,11.075,91.75,0,0,1.39917e+07,7.7413e+08,1.22696e+07,0.0
01/03/2006 11:00,1,3,2,11,0,11.1083,91.25,0,0,1.5735e+07,7.5731e+08,1.24717e+07,0.0
01/03/2006 12:00,1,3,2,12,0,11.5167,89.4167,0,0,1.71148e+07,7.5494e+08,1.28745e+07,0.0
01/03/2006 13:00,1,3,2,13,0,11.95,87.8333,0,0,1.76206e+07,7.55149e+08,1.53841e+07,0.0
01/03/2006 14:00,1,3,2,14,0,13.25,84.0833,0,0,1.85723e+07,7.51952e+08,1.49298e+07,0.0
01/03/2006 15:00,1,3,2,15,0,14.1167,81.4167,0,0,2.28388e+07,7.59943e+08,1.40869e+07,0.0
01/03/2006 16:00,1,3,2,16,0,15.4833,77.5,0,0,2.24807e+07,8.04934e+08,1.18422e+07,0.0
01/03/2006 17:00,1,3,2,17,0,17.45,69.1667,0,0,2.94656e+07,8.59408e+08,1.18171e+07,0.0
01/03/2006 18:00,1,3,2,18,0,18.025,66.1667,0,0,3.82528e+07,8.89872e+08,1.23995e+07,0.0
01/03/2006 19:00,1,3,2,19,0,16.6167,72.25,0,0,2.41543e+07,7.87354e+08,1.24304e+07,0.0
01/03/2006 20:00,1,3,2,20,0,15.4083,76.5833,0,0,1.4863e+07,5.08923e+08,9.21556e+06,0.0
01/03/2006 21:00,1,3,2,21,0,14.2667,79.9167,402100,0,1.10546e+07,3.54663e+08,8.31811e+06,402100.0
01/03/2006 22:00,1,3,2,22,0,13.8917,82,73072.1,0,9.05929e+06,3.26144e+08,7.79621e+06,73072.1
01/03/2006 23:00,1,3,2,23,0,13.8083,83.75,168432,0,9.08661e+06,2.90777e+08,8.19422e+06,168432.0
01/04/2006 00:00,1,4,3,0,0,14.475,82.0833,0,0,3.97349e+06,2.48048e+08,6.47035e+06,0.0
01/04/2006 01:00,1,4,3,1,0,12.9417,85.8333,40303.9,0,3.5126e+06,1.50786e+08,5.03593e+06,40303.9
01/04/2006 02:00,1,4,3,2,0,11.6333,91.75,0,0,1.25684e+06,1.15989e+08,0,0.0
01/04/2006 03:00,1,4,3,3,0,10.8083,95.3333,0,0,0,1.04948e+08,0,0.0
01/04/2006 04:00,1,4,3,4,0,10.6833,95.8333,0,0,0,1.01443e+08,0,0.0
01/04/2006 05:00,1,4,3,5,0,11.2167,95,0,0,0,1.11238e+08,0,0.0
01/04/2006 06:00,1,4,3,6,0,11.1833,94.4167,0,0,0,1.40678e+08,7.95194e+06,0.0
01/04/2006 07:00,1,4,3,7,0,11.45,94.5833,37350.1,0,890700,2.35999e+08,7.09629e+06,37350.1
01/04/2006 08:00,1,4,3,8,0,11.8167,94.4167,0,0,6.04043e+06,5.1253e+08,9.84324e+06,0.0
01/04/2006 09:00,1,4,3,9,0,11.2583,94.5833,0,0,1.53593e+07,7.97739e+08,1.19711e+07,0.0
01/04/2006 10:00,1,4,3,10,0,14.0667,84.5,0,0,2.05841e+07,7.69372e+08,1.22771e+07,0.0
01/04/2006 11:00,1,4,3,11,0,16.4,77.5833,0,0,2.74939e+07,7.63643e+08,1.24796e+07,0.0
01/04/2006 12:00,1,4,3,12,0,18.7333,68.0833,0,0,5.30471e+07,7.89961e+08,1.28829e+07,0.0
01/04/2006 13:00,1,4,3,13,0,21.6833,54.5833,0,0,1.22744e+08,8.58753e+08,1.53905e+07,0.0
01/04/2006 14:00,1,4,3,14,0,21.9,50.5833,0,0,1.30911e+08,8.65636e+08,1.51192e+07,0.0
01/04/2006 15:00,1,4,3,15,0,21.05,52.75,0,0,1.21773e+08,8.65887e+08,1.38959e+07,0.0
01/04/2006 16:00,1,4,3,16,0,19.925,56.9167,0,0,9.22138e+07,8.53508e+08,1.18406e+07,0.0
01/04/2006 17:00,1,4,3,17,0,18.6,61.3333,0,0,5.65394e+07,8.6593e+08,1.18234e+07,0.0
01/04/2006 18:00,1,4,3,18,0,17.1083,65.9167,0,0,3.16949e+07,8.83314e+08,1.2406e+07,0.0
01/04/2006 19:00,1,4,3,19,0,15.4083,75,0,0,2.47535e+07,7.87953e+08,1.24285e+07,0.0
01/04/2006 20:00,1,4,3,20,0,13.3583,85.25,0,0,1.61467e+07,5.10207e+08,9.42316e+06,0.0
01/04/2006 21:00,1,4,3,21,0,12.8083,89.5833,146429,0,1.15236e+07,3.50586e+08,8.30979e+06,146429.0
01/04/2006 22:00,1,4,3,22,0,11.8167,92.3333,6237.88,0,8.01201e+06,3.22267e+08,7.79058e+06,6237.88
01/04/2006 23:00,1,4,3,23,0,10.9,95.75,84274.7,0,7.50939e+06,2.85741e+08,8.01767e+06,84274.7
01/05/2006 00:00,1,5,4,0,0,10.4917,98.1667,0,0,4.20127e+06,2.30212e+08,6.62859e+06,0.0
01/05/2006 01:00,1,5,4,1,0,10.0833,99.5833,11735.7,0,3.17132e+06,1.39573e+08,4.9797e+06,11735.7
01/05/2006 02:00,1,5,4,2,0,10,100,0,0,645971,1.14458e+08,0,0.0
01/05/2006 03:00,1,5,4,3,0,10.0583,100,0,0,135806,9.7977e+07,0,0.0
01/05/2006 04:00,1,5,4,4,0,9.98333,100,0,0,0,9.52373e+07,0,0.0
