Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,0,2.91598e+07,206987,1.98021e+08,2.91598e+07,29159800.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,0,1.96123e+07,147596,1.88894e+08,1.96123e+07,19612300.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,0,3.0022e+07,155353,2.02437e+08,3.15853e+07,30022000.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,0,2.4856e+07,106034,1.88852e+08,2.4856e+07,24856000.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,0,3.59492e+07,101148,2.02394e+08,5.08672e+07,35949200.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,0,2.59173e+07,133762,1.91799e+08,3.43655e+07,25917300.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,0,2.54323e+07,215215,2.24627e+08,3.55386e+07,25432300.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,0,1.70234e+07,120447,1.85895e+08,2.6857e+07,17023400.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,0,2.31562e+07,191151,1.70406e+08,3.27848e+07,23156200.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,0,1.40296e+07,141204,1.54924e+08,2.5353e+07,14029600.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,0,1.84936e+07,170250,1.5782e+08,2.84352e+07,18493600.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,0,1.04724e+07,210869,1.55338e+08,2.22698e+07,10472400.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,0,1.47886e+07,232035,1.56593e+08,2.67365e+07,14788600.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,0,7.82307e+06,202309,1.53149e+08,2.00489e+07,7823070.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,0,1.34257e+07,284073,1.55306e+08,2.52716e+07,13425700.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,0,1.34699e+07,202699,1.54713e+08,2.31159e+07,13469900.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,0,1.70666e+07,170155,1.71757e+08,2.66758e+07,17066600.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,0,1.75037e+07,115384,2.13757e+08,2.69722e+07,17503700.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,0,2.53129e+07,164542,2.13884e+08,3.46204e+07,25312900.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,0,2.4467e+07,83809.7,2.08344e+08,2.81456e+07,24467000.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,0,2.66441e+07,126960,2.1165e+08,2.66441e+07,26644100.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,0,2.40744e+07,120533,2.08013e+08,2.56378e+07,24074400.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,0,2.83774e+07,109549,2.13262e+08,2.83774e+07,28377400.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,0,2.6486e+07,135417,2.08335e+08,2.80493e+07,26486000.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,7.59167e+06,5.51446e+08,1.23679e+06,5.0304e+08,5.71727e+08,559037670.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,0,2.29741e+08,582729,4.06181e+08,2.41767e+08,229741000.0
01/02/2006 03:00,1,2,1,3,0,3.175,82.9167,0,54568.2,72182.7,1.96523e+08,7.74419e+06,54568.2
01/02/2006 04:00,1,2,1,4,0,3.475,78.25,0,7.6968e+06,217346,1.69778e+08,9.2599e+06,7696800.0
01/02/2006 05:00,1,2,1,5,0,3.83333,79.3333,0,5.86054e+06,304803,1.81563e+08,5.86054e+06,5860540.0
01/02/2006 06:00,1,2,1,6,0,3.70833,82.1667,0,9.81392e+06,181161,1.86563e+08,9.81392e+06,9813920.0
01/02/2006 07:00,1,2,1,7,0,3.61667,82.4167,3.01799e+06,3.88744e+08,1.45663e+06,3.44354e+08,3.96616e+08,391761990.0
01/02/2006 08:00,1,2,1,8,0,3.875,80.8333,608637,3.88481e+08,884532,3.46774e+08,4.00004e+08,389089637.0
01/02/2006 09:00,1,2,1,9,0,4.58333,77.0833,0,3.46822e+08,88666.9,5.76988e+08,3.63046e+08,346822000.0
01/02/2006 10:00,1,2,1,10,0,5.23333,72.6667,0,1.02264e+08,0,1.0421e+09,1.25547e+08,102264000.0
01/02/2006 11:00,1,2,1,11,0,5.98333,66.9167,0,3.11156e+06,556533,1.20423e+09,3.23831e+07,3111560.0
01/02/2006 12:00,1,2,1,12,0,7.15833,62.8333,0,0,1.27412e+06,1.19929e+09,2.91471e+07,0.0
01/02/2006 13:00,1,2,1,13,0,8.51667,69,0,0,1.29241e+06,1.20406e+09,3.00304e+07,0.0
01/02/2006 14:00,1,2,1,14,0,9.33333,79.25,0,0,2.85212e+06,1.21109e+09,3.31027e+07,0.0
01/02/2006 15:00,1,2,1,15,0,10.4333,78.3333,0,0,2.67715e+06,1.21027e+09,3.58287e+07,0.0
01/02/2006 16:00,1,2,1,16,0,11.3917,73.8333,0,0,4.23185e+06,1.25076e+09,3.96012e+07,0.0
01/02/2006 17:00,1,2,1,17,0,10.6667,78.25,0,0,9.86108e+06,1.34459e+09,3.19525e+07,0.0
01/02/2006 18:00,1,2,1,18,0,10.0583,82,0,0,1.27908e+07,1.39152e+09,2.58096e+07,0.0
01/02/2006 19:00,1,2,1,19,0,10.625,80.25,0,0,1.70268e+07,1.40116e+09,2.77101e+07,0.0
01/02/2006 20:00,1,2,1,20,0,10.3583,83.6667,0,0,2.08409e+07,1.41573e+09,3.08446e+07,0.0
01/02/2006 21:00,1,2,1,21,0,9.84167,88.1667,0,0,1.54607e+07,1.24425e+09,2.80961e+07,0.0
01/02/2006 22:00,1,2,1,22,0,9.45,91.3333,0,458022,2.28388e+06,7.91377e+08,2.15517e+07,458022.0
01/02/2006 23:00,1,2,1,23,0,9.14167,93.5833,0,0,0,4.90999e+08,1.92063e+07,0.0
01/03/2006 00:00,1,3,2,0,0,9.33333,93.4167,0,0,0,4.89674e+08,1.58983e+07,0.0
01/03/2006 01:00,1,3,2,1,0,10.4333,91.25,0,0,0,4.00009e+08,1.60563e+07,0.0
01/03/2006 02:00,1,3,2,2,0,11.3333,89.4167,0,255874,139575,3.39945e+08,1.22198e+07,255874.0
01/03/2006 03:00,1,3,2,3,0,11.5,89.5833,0,0,0,2.42934e+08,9.29128e+06,0.0
01/03/2006 04:00,1,3,2,4,0,10.625,91.75,0,0,0,1.95217e+08,0,0.0
01/03/2006 05:00,1,3,2,5,0,9.76667,94.75,0,0,0,1.83013e+08,1.56302e+06,0.0
01/03/2006 06:00,1,3,2,6,0,9.54167,95.4167,0,0,0,1.8666e+08,0,0.0
01/03/2006 07:00,1,3,2,7,0,10.025,95,0,7.21077e+06,88352.2,2.61297e+08,1.28057e+07,7210770.0
01/03/2006 08:00,1,3,2,8,0,10.6917,93.8333,0,1.90453e+06,210525,2.74238e+08,1.4457e+07,1904530.0
01/03/2006 09:00,1,3,2,9,0,11.3083,91.25,0,574238,901450,5.40717e+08,1.69611e+07,574238.0
01/03/2006 10:00,1,3,2,10,0,11.075,91.75,0,291407,5.20048e+06,1.0189e+09,2.57875e+07,291407.0
01/03/2006 11:00,1,3,2,11,0,11.1083,91.25,0,0,1.66465e+07,1.21212e+09,2.70412e+07,0.0
01/03/2006 12:00,1,3,2,12,0,11.5167,89.4167,0,0,2.21977e+07,1.22021e+09,2.97415e+07,0.0
01/03/2006 13:00,1,3,2,13,0,11.95,87.8333,0,0,2.55087e+07,1.22828e+09,3.12408e+07,0.0
01/03/2006 14:00,1,3,2,14,0,13.25,84.0833,0,0,3.07464e+07,1.23898e+09,3.25152e+07,0.0
01/03/2006 15:00,1,3,2,15,0,14.1167,81.4167,0,0,3.56834e+07,1.23911e+09,3.66585e+07,0.0
01/03/2006 16:00,1,3,2,16,0,15.4833,77.5,0,0,3.1281e+07,1.28564e+09,3.74954e+07,0.0
01/03/2006 17:00,1,3,2,17,0,17.45,69.1667,0,0,5.32671e+07,1.38886e+09,3.23555e+07,0.0
01/03/2006 18:00,1,3,2,18,0,18.025,66.1667,0,0,7.59091e+07,1.45463e+09,2.69898e+07,0.0
