Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,1.18624e+08,0,0,1.8443e+08,0,118624000.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,1.19751e+08,0,0,1.8379e+08,0,119751000.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,1.23401e+08,0,0,1.8744e+08,0,123401000.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,1.27843e+08,0,0,1.91882e+08,0,127843000.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,1.30896e+08,0,0,1.94939e+08,8.74497e+06,130896000.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,1.26052e+08,0,0,1.91472e+08,4.10479e+06,126052000.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,1.04804e+08,0,0,1.78099e+08,6.23339e+06,104804000.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,1.287e+08,0,0,1.94629e+08,4.78643e+06,128700000.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,9.7461e+07,0,0,1.48923e+08,5.77254e+06,97461000.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,8.24515e+07,0,0,1.32046e+08,6.353e+06,82451500.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,7.02161e+07,0,0,1.19165e+08,4.26657e+06,70216100.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,7.63231e+07,0,0,1.24967e+08,6.48345e+06,76323100.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,6.72998e+07,0,0,1.15943e+08,6.58044e+06,67299800.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,5.59386e+07,0,0,1.04582e+08,6.52245e+06,55938600.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,8.47313e+07,0,0,1.36196e+08,4.54277e+06,84731300.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,7.05463e+07,0,0,1.21635e+08,6.37263e+06,70546300.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,7.84491e+07,0,0,1.35276e+08,6.02514e+06,78449100.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,8.47899e+07,0,0,1.59462e+08,4.45819e+06,84789900.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,9.98475e+07,0,0,1.71551e+08,5.96518e+06,99847500.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,9.95667e+07,0,0,1.71267e+08,1.7564e+06,99566700.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,9.26178e+07,0,0,1.64317e+08,0,92617800.0
