Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,0,1.87541e+08,282998,9.40309e+07,1.87541e+08,187541000.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,0,1.63837e+08,0,8.57189e+07,1.63837e+08,163837000.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,0,2.03617e+08,0,9.01649e+07,2.03617e+08,203617000.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,0,1.72236e+08,0,8.58076e+07,1.72236e+08,172236000.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,0,2.15536e+08,0,9.03015e+07,2.26375e+08,215536000.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,0,1.71347e+08,0,8.70288e+07,1.77838e+08,171347000.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,0,1.78821e+08,0,1.0224e+08,1.84743e+08,178821000.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,0,1.5e+08,0,8.45811e+07,1.56786e+08,150000000.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,0,1.62176e+08,56599.6,7.45495e+07,1.69421e+08,162176000.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,0,1.2094e+08,56599.6,6.7941e+07,1.27048e+08,120940000.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,0,1.31574e+08,141499,7.31267e+07,1.39595e+08,131574000.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,0,1.10172e+08,70749.5,6.72777e+07,1.17383e+08,110172000.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,0,1.31978e+08,70749.5,7.15092e+07,1.39226e+08,131978000.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,0,1.0514e+08,0,6.58605e+07,1.13657e+08,105140000.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,0,1.28706e+08,70749.5,7.19085e+07,1.36947e+08,128706000.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,0,1.16277e+08,353748,7.52664e+07,1.22319e+08,116277000.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,0,1.6681e+08,955306,9.83812e+07,1.74309e+08,166810000.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,0,1.33099e+08,0,9.91904e+07,1.39526e+08,133099000.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,0,1.51101e+08,0,9.94322e+07,1.5692e+08,151101000.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,0,1.35881e+08,0,9.50831e+07,1.37807e+08,135881000.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,0,1.57921e+08,0,9.94185e+07,1.59462e+08,157921000.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,0,1.34746e+08,0,9.50718e+07,1.34746e+08,134746000.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,0,1.69665e+08,0,9.94385e+07,1.69665e+08,169665000.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,0,1.38496e+08,0,9.50821e+07,1.38496e+08,138496000.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,0,8.66021e+08,141739,1.793e+08,8.78148e+08,866021000.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,0,3.34042e+07,7743.39,1.1025e+08,3.60095e+07,33404200.0
01/02/2006 03:00,1,2,1,3,0,3.175,82.9167,0,1.09895e+08,0,1.00663e+08,1.11436e+08,109895000.0
01/02/2006 04:00,1,2,1,4,0,3.475,78.25,0,8.71593e+08,123504,1.36912e+08,8.78588e+08,871593000.0
01/02/2006 05:00,1,2,1,5,0,3.83333,79.3333,0,7.25514e+08,0,1.49948e+08,7.33116e+08,725514000.0
01/02/2006 06:00,1,2,1,6,0,3.70833,82.1667,0,1.18226e+07,77499.8,2.84449e+08,2.32218e+07,11822600.0
01/02/2006 07:00,1,2,1,7,0,3.61667,82.4167,0,3.94281e+08,274752,5.39301e+08,4.10113e+08,394281000.0
01/02/2006 08:00,1,2,1,8,0,3.875,80.8333,0,2.85202e+08,3.47882e+06,5.86782e+08,3.00636e+08,285202000.0
01/02/2006 09:00,1,2,1,9,0,4.58333,77.0833,0,2.10195e+08,5.47518e+06,5.70142e+08,2.28504e+08,210195000.0
01/02/2006 10:00,1,2,1,10,0,5.23333,72.6667,0,1.74602e+08,6.07679e+06,5.32773e+08,1.90815e+08,174602000.0
