Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,1.00071e+07,0,154776,1.14998e+08,0,10007100.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,9.92968e+06,0,104575,1.10047e+08,0,9929680.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,1.36217e+07,0,89291.6,1.26486e+08,0,13621700.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,1.23326e+07,0,56709.9,1.16641e+08,0,12332600.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,1.58532e+07,0,62585.5,1.27523e+08,9.91116e+06,15853200.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,1.36895e+07,0,85298.3,1.22256e+08,5.74795e+06,13689500.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,9.36316e+06,0,96619.1,1.23023e+08,5.07436e+06,9363160.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,7.15296e+06,0,101868,9.5899e+07,6.16962e+06,7152960.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,9.16416e+06,0,45082.9,9.08038e+07,6.49602e+06,9164160.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,5.32105e+06,0,203431,7.74527e+07,6.49834e+06,5321050.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,7.75964e+06,0,209503,8.66912e+07,6.54393e+06,7759640.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,5.61715e+06,0,191466,7.69531e+07,6.63131e+06,5617150.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,5.58422e+06,0,276289,8.38679e+07,6.71607e+06,5584220.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,4.1133e+06,0,256327,7.49322e+07,6.89267e+06,4113300.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,5.38981e+06,0,257187,8.0224e+07,6.67337e+06,5389810.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,5.35683e+06,0,194627,8.25347e+07,6.51023e+06,5356830.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,6.40036e+06,0,233446,9.12023e+07,6.47171e+06,6400360.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,6.3855e+06,0,178931,1.12219e+08,6.36629e+06,6385500.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,9.49319e+06,0,54134.9,1.1277e+08,5.00781e+06,9493190.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,9.45544e+06,0,83591.2,1.12776e+08,2.7857e+06,9455440.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,8.36777e+06,0,120951,1.1262e+08,0,8367770.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,7.14991e+06,0,86243.3,1.10288e+08,0,7149910.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,8.17118e+06,0,118036,1.18251e+08,0,8171180.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,6.47976e+06,0,110487,1.09642e+08,0,6479760.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,6.82686e+06,0,81447.9,1.06672e+08,449986,6826860.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,6.25569e+06,0,118167,1.0571e+08,1.09053e+06,6255690.0
01/02/2006 03:00,1,2,1,3,0,3.175,82.9167,6.60865e+06,0,84808.7,1.06495e+08,0,6608650.0
01/02/2006 04:00,1,2,1,4,0,3.475,78.25,9.74969e+07,0,456078,2.49631e+08,0,97496900.0
01/02/2006 05:00,1,2,1,5,0,3.83333,79.3333,6.40017e+07,0,586241,2.39047e+08,1.04754e+07,64001700.0
01/02/2006 06:00,1,2,1,6,0,3.70833,82.1667,5.17945e+07,0,0,3.2133e+08,7.57774e+06,51794500.0
01/02/2006 07:00,1,2,1,7,0,3.61667,82.4167,1.72458e+07,0,137717,5.29296e+08,1.09127e+07,17245800.0
01/02/2006 08:00,1,2,1,8,0,3.875,80.8333,3.29709e+06,0,555458,6.38922e+08,1.35494e+07,3297090.0
01/02/2006 09:00,1,2,1,9,0,4.58333,77.0833,1.08e+06,0,1.21956e+06,6.05993e+08,1.23247e+07,1080000.0
01/02/2006 10:00,1,2,1,10,0,5.23333,72.6667,0,0,2.04857e+06,5.64315e+08,1.30991e+07,0.0
01/02/2006 11:00,1,2,1,11,0,5.98333,66.9167,0,0,3.72926e+06,5.3803e+08,1.44241e+07,0.0
01/02/2006 12:00,1,2,1,12,0,7.15833,62.8333,0,0,6.4787e+06,5.3037e+08,1.63977e+07,0.0
01/02/2006 13:00,1,2,1,13,0,8.51667,69,0,0,7.91439e+06,5.27959e+08,1.58049e+07,0.0
01/02/2006 14:00,1,2,1,14,0,9.33333,79.25,0,0,1.40587e+07,5.35815e+08,1.44388e+07,0.0
01/02/2006 15:00,1,2,1,15,0,10.4333,78.3333,0,0,1.57575e+07,5.39944e+08,1.31915e+07,0.0
01/02/2006 16:00,1,2,1,16,0,11.3917,73.8333,0,0,1.69039e+07,5.78867e+08,1.22363e+07,0.0
01/02/2006 17:00,1,2,1,17,0,10.6667,78.25,0,0,1.77841e+07,6.47948e+08,1.24805e+07,0.0
01/02/2006 18:00,1,2,1,18,0,10.0583,82,0,0,1.61044e+07,6.31056e+08,1.38944e+07,0.0
01/02/2006 19:00,1,2,1,19,0,10.625,80.25,0,0,7.02205e+06,4.30093e+08,1.15419e+07,0.0
01/02/2006 20:00,1,2,1,20,0,10.3583,83.6667,0,0,0,2.35461e+08,8.33197e+06,0.0
01/02/2006 21:00,1,2,1,21,0,9.84167,88.1667,0,0,0,2.11821e+08,9.858e+06,0.0
01/02/2006 22:00,1,2,1,22,0,9.45,91.3333,0,0,0,1.92582e+08,8.06896e+06,0.0
01/02/2006 23:00,1,2,1,23,0,9.14167,93.5833,0,0,0,1.62547e+08,6.89046e+06,0.0
01/03/2006 00:00,1,3,2,0,0,9.33333,93.4167,0,0,0,1.19538e+08,6.28993e+06,0.0
01/03/2006 01:00,1,3,2,1,0,10.4333,91.25,0,0,0,7.37775e+07,0,0.0
01/03/2006 02:00,1,3,2,2,0,11.3333,89.4167,0,0,0,6.97162e+07,0,0.0
01/03/2006 03:00,1,3,2,3,0,11.5,89.5833,0,0,0,6.62176e+07,0,0.0
01/03/2006 04:00,1,3,2,4,0,10.625,91.75,876373,0,97741.4,9.5192e+07,0,876373.0
01/03/2006 05:00,1,3,2,5,0,9.76667,94.75,550574,0,221486,1.15923e+08,9.93612e+06,550574.0
01/03/2006 06:00,1,3,2,6,0,9.54167,95.4167,53902,0,507348,2.48051e+08,7.99143e+06,53902.0
