Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,2.3283e+07,0,166672,1.62972e+08,0,23283000.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,2.24149e+07,0,62995.2,1.56888e+08,0,22414900.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,3.49181e+07,0,120481,1.79455e+08,1.54075e+06,34918100.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,3.00437e+07,0,85634,1.66256e+08,0,30043700.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,3.86121e+07,0,193919,1.84426e+08,1.34021e+07,38612100.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,3.1078e+07,0,112933,1.70652e+08,9.25983e+06,31078000.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,3.26723e+07,0,182999,1.99389e+08,9.3825e+06,32672300.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,2.30879e+07,0,113108,1.57084e+08,9.49843e+06,23087900.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,2.28643e+07,0,146229,1.37015e+08,9.54593e+06,22864300.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,1.69061e+07,0,27630.4,1.19013e+08,9.5519e+06,16906100.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,1.74489e+07,0,60545.1,1.28532e+08,9.61439e+06,17448900.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,1.40423e+07,0,59024,1.15846e+08,1.16952e+07,14042300.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,1.5999e+07,0,74530.2,1.26931e+08,1.08294e+07,15999000.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,1.28509e+07,0,71016.8,1.14588e+08,1.16266e+07,12850900.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,1.52883e+07,0,80545.6,1.26443e+08,1.12789e+07,15288300.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,1.45565e+07,0,50657.9,1.17346e+08,9.57767e+06,14556500.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,1.82464e+07,0,58669.3,1.39214e+08,9.52631e+06,18246400.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,1.75849e+07,0,27063.9,1.70882e+08,9.38802e+06,17584900.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,2.33941e+07,0,96559.8,1.77669e+08,9.21523e+06,23394100.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,2.04875e+07,0,25446.3,1.6368e+08,3.36923e+06,20487500.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,2.02631e+07,0,56172.3,1.72674e+08,0,20263100.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,1.50805e+07,0,37909.7,1.58584e+08,0,15080500.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,1.77473e+07,0,73977.5,1.74534e+08,1.54077e+06,17747300.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,1.53674e+07,0,26712.8,1.59777e+08,0,15367400.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,4.02204e+08,0,637101,7.22231e+08,2.45427e+07,402204000.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,1.87045e+08,0,0,4.94547e+08,1.96363e+07,187045000.0
01/02/2006 03:00,1,2,1,3,0,3.175,82.9167,1.57287e+08,0,0,4.59602e+08,1.98319e+07,157287000.0
01/02/2006 04:00,1,2,1,4,0,3.475,78.25,1.07678e+08,0,471450,3.4317e+08,1.66647e+07,107678000.0
01/02/2006 05:00,1,2,1,5,0,3.83333,79.3333,3.72757e+07,0,382707,2.93955e+08,1.77715e+07,37275700.0
01/02/2006 06:00,1,2,1,6,0,3.70833,82.1667,5.11762e+06,0,0,2.59286e+08,3.3054e+07,5117620.0
01/02/2006 07:00,1,2,1,7,0,3.61667,82.4167,4.0727e+07,0,312707,3.1166e+08,3.31945e+07,40727000.0
01/02/2006 08:00,1,2,1,8,0,3.875,80.8333,1.44961e+08,0,61511.1,3.98259e+08,3.02604e+07,144961000.0
01/02/2006 09:00,1,2,1,9,0,4.58333,77.0833,9.65467e+07,0,0,3.46826e+08,2.87703e+07,96546700.0
01/02/2006 10:00,1,2,1,10,0,5.23333,72.6667,5.72165e+07,0,0,4.19302e+08,3.00982e+07,57216500.0
01/02/2006 11:00,1,2,1,11,0,5.98333,66.9167,2.81198e+07,0,0,5.41741e+08,3.39476e+07,28119800.0
01/02/2006 12:00,1,2,1,12,0,7.15833,62.8333,7.80654e+06,0,0,5.35106e+08,3.44082e+07,7806540.0
01/02/2006 13:00,1,2,1,13,0,8.51667,69,1.87958e+06,0,18256.2,5.27917e+08,3.60869e+07,1879580.0
01/02/2006 14:00,1,2,1,14,0,9.33333,79.25,314033,0,33027.1,5.25554e+08,3.5559e+07,314033.0
01/02/2006 15:00,1,2,1,15,0,10.4333,78.3333,132985,0,0,5.25936e+08,3.5096e+07,132985.0
01/02/2006 16:00,1,2,1,16,0,11.3917,73.8333,53920.4,0,0,5.41469e+08,3.61714e+07,53920.4
01/02/2006 17:00,1,2,1,17,0,10.6667,78.25,46872,0,0,5.72094e+08,3.64248e+07,46872.0
01/02/2006 18:00,1,2,1,18,0,10.0583,82,32340.5,0,0,6.09638e+08,3.53914e+07,32340.5
01/02/2006 19:00,1,2,1,19,0,10.625,80.25,0,0,0,6.09109e+08,2.6363e+07,0.0
01/02/2006 20:00,1,2,1,20,0,10.3583,83.6667,0,0,0,6.09935e+08,2.4714e+07,0.0
01/02/2006 21:00,1,2,1,21,0,9.84167,88.1667,0,0,0,6.1572e+08,2.59889e+07,0.0
01/02/2006 22:00,1,2,1,22,0,9.45,91.3333,0,0,0,6.22331e+08,2.74058e+07,0.0
01/02/2006 23:00,1,2,1,23,0,9.14167,93.5833,0,0,0,6.21358e+08,2.88244e+07,0.0
01/03/2006 00:00,1,3,2,0,0,9.33333,93.4167,921992,0,0,4.74102e+08,2.36728e+07,921992.0
01/03/2006 01:00,1,3,2,1,0,10.4333,91.25,995144,0,0,3.20385e+08,2.15567e+07,995144.0
01/03/2006 02:00,1,3,2,2,0,11.3333,89.4167,364969,0,32833.2,3.079e+08,1.90098e+07,364969.0
