Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,9.035e+06,0,451856,1.62105e+08,0,9035000.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,9.45309e+06,0,338459,1.63103e+08,0,9453090.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,1.20045e+07,0,296546,1.73028e+08,0,12004500.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,1.04602e+07,0,354831,1.66168e+08,1.54078e+06,10460200.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,1.31685e+07,0,273957,1.71573e+08,1.04568e+07,13168500.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,1.11964e+07,0,299531,1.70312e+08,7.37935e+06,11196400.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,9.87156e+06,0,394833,1.78707e+08,6.17177e+06,9871560.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,8.34878e+06,0,588885,1.55591e+08,7.88835e+06,8348780.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,8.67147e+06,0,313320,1.33417e+08,7.93902e+06,8671470.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,7.19734e+06,0,159511,1.20002e+08,7.94486e+06,7197340.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,8.3875e+06,0,359223,1.22063e+08,8.00048e+06,8387500.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,6.74179e+06,0,456301,1.20571e+08,8.10991e+06,6741790.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,8.0336e+06,0,220942,1.16273e+08,8.19729e+06,8033600.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,6.64774e+06,0,450539,1.20729e+08,1.04955e+07,6647740.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,7.69736e+06,0,238330,1.16456e+08,8.13098e+06,7697360.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,7.0883e+06,0,379828,1.23082e+08,7.95438e+06,7088300.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,8.53932e+06,0,233648,1.29273e+08,7.9158e+06,8539320.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,7.98711e+06,0,443373,1.66221e+08,6.10237e+06,7987110.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,1.18448e+07,0,521609,1.76325e+08,7.41836e+06,11844800.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,9.36113e+06,0,429484,1.78093e+08,1.8973e+06,9361130.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,8.982e+06,0,218898,1.60066e+08,1.54059e+06,8982000.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,7.54752e+06,0,457799,1.74372e+08,0,7547520.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,9.02836e+06,0,429653,1.73159e+08,0,9028360.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,7.45632e+06,0,347849,1.733e+08,1.54048e+06,7456320.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,1.29041e+08,0,2.05971e+06,5.32213e+08,1.27462e+07,129041000.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,3.40541e+07,0,869718,3.24562e+08,9.59241e+06,34054100.0
01/02/2006 03:00,1,2,1,3,0,3.175,82.9167,5.12269e+06,0,152194,1.49995e+08,636995,5122690.0
01/02/2006 04:00,1,2,1,4,0,3.475,78.25,7.00589e+07,0,2.44044e+06,2.76008e+08,1.54078e+06,70058900.0
01/02/2006 05:00,1,2,1,5,0,3.83333,79.3333,5.68236e+07,0,1.21811e+06,3.02482e+08,1.0961e+07,56823600.0
01/02/2006 06:00,1,2,1,6,0,3.70833,82.1667,5.67964e+07,0,54120.4,5.13697e+08,1.13817e+07,56796400.0
01/02/2006 07:00,1,2,1,7,0,3.61667,82.4167,1.61506e+07,0,861113,9.78319e+08,1.43783e+07,16150600.0
01/02/2006 08:00,1,2,1,8,0,3.875,80.8333,4.91472e+06,0,2.8595e+06,1.2642e+09,1.98174e+07,4914720.0
01/02/2006 09:00,1,2,1,9,0,4.58333,77.0833,1.62e+06,0,8.75358e+06,1.23911e+09,1.90365e+07,1620000.0
01/02/2006 10:00,1,2,1,10,0,5.23333,72.6667,0,0,1.59565e+07,1.19559e+09,1.92856e+07,0.0
01/02/2006 11:00,1,2,1,11,0,5.98333,66.9167,0,0,2.48328e+07,1.15909e+09,2.11199e+07,0.0
01/02/2006 12:00,1,2,1,12,0,7.15833,62.8333,0,0,3.70866e+07,1.1587e+09,2.15438e+07,0.0
01/02/2006 13:00,1,2,1,13,0,8.51667,69,0,0,4.27743e+07,1.16129e+09,2.21461e+07,0.0
01/02/2006 14:00,1,2,1,14,0,9.33333,79.25,0,0,3.89637e+07,1.15073e+09,2.52783e+07,0.0
01/02/2006 15:00,1,2,1,15,0,10.4333,78.3333,0,0,5.52257e+07,1.18338e+09,2.45174e+07,0.0
01/02/2006 16:00,1,2,1,16,0,11.3917,73.8333,0,0,6.47757e+07,1.23811e+09,1.73112e+07,0.0
01/02/2006 17:00,1,2,1,17,0,10.6667,78.25,0,0,7.16379e+07,1.31935e+09,1.90148e+07,0.0
01/02/2006 18:00,1,2,1,18,0,10.0583,82,0,0,7.44062e+07,1.35444e+09,1.7522e+07,0.0
01/02/2006 19:00,1,2,1,19,0,10.625,80.25,0,0,7.89032e+07,1.36308e+09,1.99087e+07,0.0
01/02/2006 20:00,1,2,1,20,0,10.3583,83.6667,0,0,8.33079e+07,1.37213e+09,2.10714e+07,0.0
01/02/2006 21:00,1,2,1,21,0,9.84167,88.1667,0,0,6.45987e+07,1.11461e+09,1.78496e+07,0.0
01/02/2006 22:00,1,2,1,22,0,9.45,91.3333,273266,0,3.27074e+07,7.0581e+08,1.40866e+07,273266.0
01/02/2006 23:00,1,2,1,23,0,9.14167,93.5833,183149,0,1.86991e+07,5.15023e+08,1.30391e+07,183149.0
01/03/2006 00:00,1,3,2,0,0,9.33333,93.4167,101212,0,1.34858e+07,4.72182e+08,1.18611e+07,101212.0
01/03/2006 01:00,1,3,2,1,0,10.4333,91.25,71736.7,0,8.92635e+06,3.77544e+08,9.7896e+06,71736.7
01/03/2006 02:00,1,3,2,2,0,11.3333,89.4167,26299.2,0,3.79177e+06,2.98311e+08,9.46653e+06,26299.2
01/03/2006 03:00,1,3,2,3,0,11.5,89.5833,0,0,0,1.93095e+08,764098,0.0
01/03/2006 04:00,1,3,2,4,0,10.625,91.75,0,0,0,1.86287e+08,1.54047e+06,0.0
01/03/2006 05:00,1,3,2,5,0,9.76667,94.75,0,0,0,2.38515e+08,1.05734e+07,0.0
01/03/2006 06:00,1,3,2,6,0,9.54167,95.4167,523426,0,4.98238e+06,4.51284e+08,1.13326e+07,523426.0
01/03/2006 07:00,1,3,2,7,0,10.025,95,0,0,3.40764e+07,9.95384e+08,1.53819e+07,0.0
01/03/2006 08:00,1,3,2,8,0,10.6917,93.8333,0,0,7.01599e+07,1.32455e+09,1.95439e+07,0.0
01/03/2006 09:00,1,3,2,9,0,11.3083,91.25,0,0,8.02581e+07,1.26756e+09,1.815e+07,0.0
01/03/2006 10:00,1,3,2,10,0,11.075,91.75,0,0,8.19172e+07,1.22493e+09,2.04172e+07,0.0
01/03/2006 11:00,1,3,2,11,0,11.1083,91.25,0,0,8.34982e+07,1.21035e+09,2.11098e+07,0.0
01/03/2006 12:00,1,3,2,12,0,11.5167,89.4167,0,0,8.67143e+07,1.21511e+09,2.1543e+07,0.0
01/03/2006 13:00,1,3,2,13,0,11.95,87.8333,0,0,8.61097e+07,1.20937e+09,2.21299e+07,0.0
01/03/2006 14:00,1,3,2,14,0,13.25,84.0833,0,0,7.9999e+07,1.20023e+09,2.5271e+07,0.0
01/03/2006 15:00,1,3,2,15,0,14.1167,81.4167,0,0,9.79919e+07,1.21411e+09,2.36048e+07,0.0
01/03/2006 16:00,1,3,2,16,0,15.4833,77.5,0,0,1.00699e+08,1.2786e+09,1.83913e+07,0.0
01/03/2006 17:00,1,3,2,17,0,17.45,69.1667,0,0,1.42119e+08,1.39039e+09,1.84824e+07,0.0
01/03/2006 18:00,1,3,2,18,0,18.025,66.1667,0,0,1.72137e+08,1.45217e+09,1.75018e+07,0.0
01/03/2006 19:00,1,3,2,19,0,16.6167,72.25,0,0,1.23631e+08,1.40781e+09,2.04479e+07,0.0
01/03/2006 20:00,1,3,2,20,0,15.4083,76.5833,0,0,1.07591e+08,1.39641e+09,2.10647e+07,0.0
01/03/2006 21:00,1,3,2,21,0,14.2667,79.9167,0,0,8.73279e+07,1.13734e+09,1.72466e+07,0.0
01/03/2006 22:00,1,3,2,22,0,13.8917,82,310173,0,5.74561e+07,7.35592e+08,1.48286e+07,310173.0
01/03/2006 23:00,1,3,2,23,0,13.8083,83.75,504888,0,3.35623e+07,5.50193e+08,1.31331e+07,504888.0
01/04/2006 00:00,1,4,3,0,0,14.475,82.0833,684918,0,4.5206e+07,5.40067e+08,1.18577e+07,684918.0
01/04/2006 01:00,1,4,3,1,0,12.9417,85.8333,267718,0,2.49528e+07,4.26839e+08,9.58853e+06,267718.0
01/04/2006 02:00,1,4,3,2,0,11.6333,91.75,521544,0,2.6809e+07,3.90183e+08,9.72677e+06,521544.0
01/04/2006 03:00,1,4,3,3,0,10.8083,95.3333,114230,0,1.11724e+07,2.38192e+08,1.54041e+06,114230.0
01/04/2006 04:00,1,4,3,4,0,10.6833,95.8333,89225.5,0,7.00299e+06,2.14331e+08,0,89225.5
01/04/2006 05:00,1,4,3,5,0,11.2167,95,78797.5,0,6.55524e+06,2.59893e+08,1.08763e+07,78797.5
01/04/2006 06:00,1,4,3,6,0,11.1833,94.4167,167213,0,1.72205e+07,4.74555e+08,1.13326e+07,167213.0
01/04/2006 07:00,1,4,3,7,0,11.45,94.5833,0,0,4.74389e+07,1.00875e+09,1.52451e+07,0.0
01/04/2006 08:00,1,4,3,8,0,11.8167,94.4167,0,0,8.38201e+07,1.34024e+09,1.97493e+07,0.0
01/04/2006 09:00,1,4,3,9,0,11.2583,94.5833,0,0,9.15437e+07,1.28768e+09,1.81781e+07,0.0
01/04/2006 10:00,1,4,3,10,0,14.0667,84.5,0,0,9.79517e+07,1.23183e+09,2.02404e+07,0.0
01/04/2006 11:00,1,4,3,11,0,16.4,77.5833,0,0,1.12801e+08,1.2349e+09,2.11281e+07,0.0
01/04/2006 12:00,1,4,3,12,0,18.7333,68.0833,0,0,2.13781e+08,1.33471e+09,2.15591e+07,0.0
01/04/2006 13:00,1,4,3,13,0,21.6833,54.5833,0,0,3.3051e+08,1.45038e+09,2.21553e+07,0.0
01/04/2006 14:00,1,4,3,14,0,21.9,50.5833,0,0,3.05315e+08,1.41912e+09,2.5283e+07,0.0
01/04/2006 15:00,1,4,3,15,0,21.05,52.75,0,0,3.02839e+08,1.43001e+09,2.40279e+07,0.0
01/04/2006 16:00,1,4,3,16,0,19.925,56.9167,0,0,2.66952e+08,1.42775e+09,1.79246e+07,0.0
01/04/2006 17:00,1,4,3,17,0,18.6,61.3333,0,0,2.12004e+08,1.44323e+09,1.89425e+07,0.0
01/04/2006 18:00,1,4,3,18,0,17.1083,65.9167,0,0,1.44938e+08,1.42498e+09,1.71916e+07,0.0
01/04/2006 19:00,1,4,3,19,0,15.4083,75,0,0,1.14432e+08,1.39861e+09,2.03749e+07,0.0
01/04/2006 20:00,1,4,3,20,0,13.3583,85.25,0,0,1.11379e+08,1.4002e+09,2.1091e+07,0.0
01/04/2006 21:00,1,4,3,21,0,12.8083,89.5833,0,0,9.08149e+07,1.14082e+09,1.75976e+07,0.0
01/04/2006 22:00,1,4,3,22,0,11.8167,92.3333,326199,0,5.63078e+07,7.33627e+08,1.44797e+07,326199.0
01/04/2006 23:00,1,4,3,23,0,10.9,95.75,344746,0,3.30056e+07,5.47728e+08,1.3121e+07,344746.0
01/05/2006 00:00,1,5,4,0,0,10.4917,98.1667,505334,0,3.7121e+07,5.29328e+08,1.18797e+07,505334.0
01/05/2006 01:00,1,5,4,1,0,10.0833,99.5833,128585,0,2.37017e+07,4.22618e+08,9.53248e+06,128585.0
01/05/2006 02:00,1,5,4,2,0,10,100,408642,0,2.19954e+07,3.7512e+08,9.88791e+06,408642.0
01/05/2006 03:00,1,5,4,3,0,10.0583,100,99022.9,0,8.3739e+06,2.21616e+08,1.65219e+06,99022.9
01/05/2006 04:00,1,5,4,4,0,9.98333,100,20347.3,0,7.152e+06,2.07717e+08,105914,20347.3
01/05/2006 05:00,1,5,4,5,0,9.78333,100,0,0,5.44875e+06,2.51045e+08,1.07708e+07,0.0
01/05/2006 06:00,1,5,4,6,0,10.3417,100,131820,0,1.61651e+07,4.75141e+08,1.1342e+07,131820.0
01/05/2006 07:00,1,5,4,7,0,11.9667,100,0,0,4.78268e+07,1.00913e+09,1.52791e+07,0.0
01/05/2006 08:00,1,5,4,8,0,12.6833,100,0,0,8.37772e+07,1.33514e+09,1.97536e+07,0.0
01/05/2006 09:00,1,5,4,9,0,14.175,97.6667,0,0,9.36512e+07,1.27892e+09,1.82043e+07,0.0
01/05/2006 10:00,1,5,4,10,0,16.2917,94.8333,0,0,9.99027e+07,1.24236e+09,2.02504e+07,0.0
01/05/2006 11:00,1,5,4,11,0,15.6583,95.1667,0,0,1.01543e+08,1.22907e+09,2.11421e+07,0.0
01/05/2006 12:00,1,5,4,12,0,15.4583,93.0833,0,0,1.03985e+08,1.23837e+09,2.15727e+07,0.0
01/05/2006 13:00,1,5,4,13,0,17.6917,81.0833,0,0,1.41074e+08,1.26434e+09,2.21719e+07,0.0
01/05/2006 14:00,1,5,4,14,0,20.3583,64.6667,0,0,2.47313e+08,1.36112e+09,2.52948e+07,0.0
01/05/2006 15:00,1,5,4,15,0,21.4583,55.0833,0,0,3.02526e+08,1.41426e+09,2.42564e+07,0.0
01/05/2006 16:00,1,5,4,16,0,20.8,55.3333,0,0,2.78563e+08,1.4264e+09,1.76926e+07,0.0
01/05/2006 17:00,1,5,4,17,0,19.1917,61.6667,0,0,2.25732e+08,1.4619e+09,1.90507e+07,0.0
01/05/2006 18:00,1,5,4,18,0,16.3583,71.4167,0,0,1.28234e+08,1.40827e+09,1.73489e+07,0.0
01/05/2006 19:00,1,5,4,19,0,14.2,78.3333,0,0,1.08737e+08,1.39291e+09,2.01745e+07,0.0
01/05/2006 20:00,1,5,4,20,0,14.4,78.25,0,0,1.08211e+08,1.39703e+09,2.11093e+07,0.0
01/05/2006 21:00,1,5,4,21,0,15.3083,74.6667,0,0,9.18038e+07,1.14181e+09,1.78302e+07,0.0
