Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,0,2.14433e+08,0,1.38952e+08,2.14433e+08,214433000.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,0,1.89706e+08,0,1.35889e+08,1.89706e+08,189706000.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,0,2.33159e+08,0,1.40636e+08,2.347e+08,233159000.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,0,2.08226e+08,0,1.3653e+08,2.08226e+08,208226000.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,0,2.46061e+08,0,1.41395e+08,2.59289e+08,246061000.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,0,2.01946e+08,0,1.3846e+08,2.09253e+08,201946000.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,0,1.89133e+08,0,1.60361e+08,1.98369e+08,189133000.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,0,1.66895e+08,0,1.33759e+08,1.76266e+08,166895000.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,0,1.84139e+08,0,1.13474e+08,1.93552e+08,184139000.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,0,1.68071e+08,0,1.05936e+08,1.77489e+08,168071000.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,0,1.4246e+08,0,1.09439e+08,1.51952e+08,142460000.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,0,1.27008e+08,0,1.04303e+08,1.36627e+08,127008000.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,0,1.56172e+08,0,1.08969e+08,1.67852e+08,156172000.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,0,1.25005e+08,0,1.0429e+08,1.35874e+08,125005000.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,0,1.52255e+08,103431,1.11799e+08,1.62962e+08,152255000.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,0,1.36742e+08,724017,1.21606e+08,1.46185e+08,136742000.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,0,1.63313e+08,0,1.23674e+08,1.727e+08,163313000.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,0,1.76828e+08,0,1.5766e+08,1.85136e+08,176828000.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,0,1.96288e+08,0,1.55864e+08,2.04485e+08,196288000.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,0,1.48844e+08,0,1.50935e+08,1.52189e+08,148844000.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,0,2.07894e+08,0,1.55853e+08,2.07894e+08,207894000.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,0,1.63583e+08,0,1.51181e+08,1.63583e+08,163583000.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,0,1.74021e+08,0,1.55636e+08,1.75562e+08,174021000.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,0,1.53811e+08,0,1.50933e+08,1.53811e+08,153811000.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,0,1.49536e+09,0,3.40505e+08,1.51482e+09,1495360000.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,0,8.25806e+08,0,2.84586e+08,8.39283e+08,825806000.0
01/02/2006 03:00,1,2,1,3,0,3.175,82.9167,0,3.96806e+08,0,2.22762e+08,4.06511e+08,396806000.0
01/02/2006 04:00,1,2,1,4,0,3.475,78.25,0,3.99674e+07,0,1.60353e+08,4.56585e+07,39967400.0
01/02/2006 05:00,1,2,1,5,0,3.83333,79.3333,0,7.99439e+08,310293,1.90796e+08,7.99439e+08,799439000.0
01/02/2006 06:00,1,2,1,6,0,3.70833,82.1667,0,1.34841e+07,0,1.96944e+08,2.8065e+07,13484100.0
01/02/2006 07:00,1,2,1,7,0,3.61667,82.4167,0,1.06225e+09,41372.4,3.33901e+08,1.0751e+09,1062250000.0
01/02/2006 08:00,1,2,1,8,0,3.875,80.8333,0,6.29255e+08,0,6.83649e+08,6.50856e+08,629255000.0
01/02/2006 09:00,1,2,1,9,0,4.58333,77.0833,0,2.8851e+08,0,9.11679e+08,3.14557e+08,288510000.0
01/02/2006 10:00,1,2,1,10,0,5.23333,72.6667,0,2.27994e+08,0,8.63674e+08,2.55265e+08,227994000.0
01/02/2006 11:00,1,2,1,11,0,5.98333,66.9167,0,1.52474e+08,0,8.16937e+08,1.80893e+08,152474000.0
01/02/2006 12:00,1,2,1,12,0,7.15833,62.8333,0,5.86152e+07,0,8.02568e+08,8.75644e+07,58615200.0
01/02/2006 13:00,1,2,1,13,0,8.51667,69,0,2.94671e+07,0,8.04619e+08,5.87857e+07,29467100.0
01/02/2006 14:00,1,2,1,14,0,9.33333,79.25,0,1.86258e+07,0,8.047e+08,5.1348e+07,18625800.0
01/02/2006 15:00,1,2,1,15,0,10.4333,78.3333,0,3.75388e+07,0,7.99611e+08,7.40324e+07,37538800.0
01/02/2006 16:00,1,2,1,16,0,11.3917,73.8333,0,1.41517e+07,0,8.66013e+08,4.75142e+07,14151700.0
01/02/2006 17:00,1,2,1,17,0,10.6667,78.25,0,1.25797e+07,0,9.44541e+08,3.83271e+07,12579700.0
01/02/2006 18:00,1,2,1,18,0,10.0583,82,0,1.20668e+07,0,9.84031e+08,3.67583e+07,12066800.0
