Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,1.96433e+07,0,168154,1.06263e+08,0,19643300.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,2.15252e+07,0,82004.5,1.0732e+08,0,21525200.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,2.77183e+07,0,103427,1.20208e+08,0,27718300.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,2.52931e+07,0,118493,1.11168e+08,0,25293100.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,3.16752e+07,0,138661,1.26796e+08,8.68328e+06,31675200.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,2.54722e+07,0,127011,1.12814e+08,4.87286e+06,25472200.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,2.70849e+07,0,71486,1.2966e+08,6.10081e+06,27084900.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,2.29292e+07,0,78811.4,1.08543e+08,4.41688e+06,22929200.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,2.46861e+07,0,85802.8,1.05422e+08,6.39099e+06,24686100.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,1.75383e+07,0,45530.8,8.17276e+07,5.53272e+06,17538300.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,1.5599e+07,0,72047.7,8.66029e+07,5.16044e+06,15599000.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,1.45334e+07,0,66289.2,7.82516e+07,6.53222e+06,14533400.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,1.44077e+07,0,56930.3,8.53965e+07,6.62511e+06,14407700.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,1.18187e+07,0,113826,7.55581e+07,5.94363e+06,11818700.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,1.42488e+07,0,82757,8.55787e+07,5.18455e+06,14248800.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,1.33496e+07,0,39870,7.80703e+07,6.41717e+06,13349600.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,1.62054e+07,0,53839.9,9.40032e+07,5.84004e+06,16205400.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,1.58054e+07,0,75021.3,1.06914e+08,4.70682e+06,15805400.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,2.16523e+07,0,44852.7,1.20036e+08,6.15993e+06,21652300.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,1.71244e+07,0,76754.9,1.05723e+08,1.6532e+06,17124400.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,1.89011e+07,0,121665,1.16461e+08,0,18901100.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,1.33438e+07,0,75962.7,1.0181e+08,0,13343800.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,1.61721e+07,0,68404.4,1.13581e+08,0,16172100.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,1.32185e+07,0,71930.8,1.04354e+08,0,13218500.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,1.27668e+07,0,74104,1.03409e+08,0,12766800.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,1.11849e+07,0,52354.6,9.42784e+07,1.54048e+06,11184900.0
01/02/2006 03:00,1,2,1,3,0,3.175,82.9167,1.50084e+07,0,90535.1,1.06519e+08,0,15008400.0
01/02/2006 04:00,1,2,1,4,0,3.475,78.25,4.88494e+07,0,322418,1.46847e+08,0,48849400.0
01/02/2006 05:00,1,2,1,5,0,3.83333,79.3333,1.69418e+08,0,1.09386e+06,3.0398e+08,7.5042e+06,169418000.0
01/02/2006 06:00,1,2,1,6,0,3.70833,82.1667,1.22235e+08,0,445678,2.85324e+08,6.99251e+06,122235000.0
01/02/2006 07:00,1,2,1,7,0,3.61667,82.4167,1.04617e+08,0,0,4.01181e+08,8.59015e+06,104617000.0
01/02/2006 08:00,1,2,1,8,0,3.875,80.8333,6.04158e+07,0,0,4.88906e+08,1.15213e+07,60415800.0
01/02/2006 09:00,1,2,1,9,0,4.58333,77.0833,3.89508e+07,0,0,4.55074e+08,1.24881e+07,38950800.0
01/02/2006 10:00,1,2,1,10,0,5.23333,72.6667,3.06978e+07,0,0,4.19488e+08,1.57683e+07,30697800.0
01/02/2006 11:00,1,2,1,11,0,5.98333,66.9167,1.73403e+07,0,19918.3,3.84611e+08,1.32557e+07,17340300.0
