Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,0,1.24055e+08,0,5.0505e+07,1.24055e+08,124055000.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,0,1.17202e+08,0,4.88367e+07,1.17202e+08,117202000.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,0,1.44841e+08,0,5.16242e+07,1.44841e+08,144841000.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,0,1.23362e+08,0,4.88514e+07,1.23362e+08,123362000.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,0,1.48865e+08,0,5.19175e+07,1.57352e+08,148865000.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,0,1.27144e+08,0,5.01947e+07,1.32e+08,127144000.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,0,1.26347e+08,0,6.12146e+07,1.31488e+08,126347000.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,0,1.051e+08,0,4.91859e+07,1.10511e+08,105100000.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,0,1.18508e+08,0,4.21802e+07,1.24693e+08,118508000.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,0,7.80839e+07,0,3.86023e+07,8.25783e+07,78083900.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,0,9.22787e+07,0,4.11021e+07,9.87387e+07,92278700.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,0,7.98876e+07,0,3.82138e+07,8.49294e+07,79887600.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,0,9.41142e+07,0,4.09469e+07,1.00048e+08,94114200.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,0,7.65359e+07,0,3.81884e+07,8.33261e+07,76535900.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,0,9.82501e+07,0,4.11296e+07,1.04272e+08,98250100.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,0,7.7388e+07,0,3.90928e+07,8.21958e+07,77388000.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,0,9.45893e+07,0,4.57172e+07,1.00977e+08,94589300.0
