Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,8.1546e+07,0,0,1.365e+08,0,81546000.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,7.23938e+07,0,0,1.266e+08,0,72393800.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,7.34826e+07,0,0,1.27689e+08,0,73482600.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,7.53602e+07,0,0,1.29566e+08,0,75360200.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,7.57555e+07,0,0,1.29967e+08,1.07307e+07,75755500.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,7.99591e+07,0,0,1.3576e+08,5.89223e+06,79959100.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,6.15439e+07,0,0,1.2951e+08,5.96757e+06,61543900.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,7.59627e+07,0,0,1.33028e+08,6.03755e+06,75962700.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,6.0156e+07,0,0,1.02599e+08,6.0678e+06,60156000.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,5.71067e+07,0,0,9.93393e+07,7.77698e+06,57106700.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,5.6911e+07,0,0,9.90166e+07,6.44388e+06,56911000.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,5.60897e+07,0,0,9.81779e+07,6.19585e+06,56089700.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,6.12836e+07,0,0,1.03366e+08,8.36809e+06,61283600.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,5.02336e+07,0,0,9.23334e+07,6.56985e+06,50233600.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,6.28185e+07,0,0,1.05607e+08,8.18978e+06,62818500.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,5.79202e+07,0,0,1.00007e+08,6.08464e+06,57920200.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,5.6496e+07,0,0,1.02977e+08,6.06214e+06,56496000.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,5.83945e+07,0,0,1.27641e+08,6.64086e+06,58394500.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,6.61197e+07,0,0,1.29726e+08,5.93324e+06,66119700.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,6.73258e+07,0,0,1.31546e+08,2.84364e+06,67325800.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,6.32798e+07,0,0,1.26881e+08,0,63279800.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,7.85883e+07,0,0,1.43377e+08,0,78588300.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,7.00678e+07,0,0,1.33669e+08,0,70067800.0
