Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,0,1.00926e+07,20134.1,7.75148e+07,1.00926e+07,10092600.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,0,7.37445e+06,27775,7.58587e+07,7.37445e+06,7374450.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,0,1.17812e+07,68514.8,8.11738e+07,1.17812e+07,11781200.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,0,8.77425e+06,31613.6,7.58626e+07,8.77425e+06,8774250.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,0,1.40196e+07,43478.7,8.11528e+07,2.28823e+07,14019600.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,0,9.25015e+06,40457.5,7.71237e+07,1.42327e+07,9250150.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,0,1.11993e+07,58926.1,9.06584e+07,1.69529e+07,11199300.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,0,7.34864e+06,29674.3,7.49286e+07,1.25417e+07,7348640.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,0,9.57074e+06,80571,6.90467e+07,1.62215e+07,9570740.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,0,4.87119e+06,81575.4,6.25587e+07,9.30584e+06,4871190.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,0,8.1536e+06,85450.9,6.73163e+07,1.4853e+07,8153600.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,0,5.54134e+06,114280,6.1854e+07,1.12648e+07,5541340.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,0,7.47452e+06,78761.3,6.69626e+07,1.31423e+07,7474520.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,0,5.04558e+06,113345,6.17229e+07,1.20959e+07,5045580.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,0,5.52198e+06,118458,6.6764e+07,1.17218e+07,5521980.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,0,4.18766e+06,101797,6.41549e+07,9.22736e+06,4187660.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,0,6.48044e+06,69348.8,7.26701e+07,1.31092e+07,6480440.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,0,5.01081e+06,58543.2,8.72536e+07,9.36264e+06,5010810.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,0,8.61911e+06,30321.2,8.91976e+07,1.50343e+07,8619110.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,0,5.87415e+06,27676.5,8.51613e+07,7.70826e+06,5874150.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,0,7.93684e+06,36576.4,8.91999e+07,7.93684e+06,7936840.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,0,5.41479e+06,54010.3,8.51863e+07,5.41479e+06,5414790.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,0,8.76839e+06,39824.9,8.92031e+07,8.76839e+06,8768390.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,0,5.88737e+06,30108,8.51623e+07,5.88737e+06,5887370.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,0,6.32924e+06,63002.5,8.73878e+07,1.5411e+07,6329240.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,0,3.85749e+06,86113.1,8.2385e+07,4.28155e+06,3857490.0
01/02/2006 03:00,1,2,1,3,0,3.175,82.9167,0,5.67441e+06,61762,8.58819e+07,5.67441e+06,5674410.0
01/02/2006 04:00,1,2,1,4,0,3.475,78.25,0,4.23892e+06,75287.1,8.18644e+07,4.23892e+06,4238920.0
01/02/2006 05:00,1,2,1,5,0,3.83333,79.3333,0,6.42546e+06,57365.8,8.97394e+07,6.42546e+06,6425460.0
01/02/2006 06:00,1,2,1,6,0,3.70833,82.1667,4.46388e+06,3.00438e+08,542367,1.49777e+08,3.06402e+08,304901880.0
01/02/2006 07:00,1,2,1,7,0,3.61667,82.4167,140658,2.3052e+08,351074,1.73678e+08,2.37544e+08,230660658.0
01/02/2006 08:00,1,2,1,8,0,3.875,80.8333,0,2.11326e+08,0,2.99654e+08,2.1992e+08,211326000.0
01/02/2006 09:00,1,2,1,9,0,4.58333,77.0833,0,5.3398e+07,0,5.25739e+08,6.37223e+07,53398000.0
01/02/2006 10:00,1,2,1,10,0,5.23333,72.6667,0,1.10889e+07,44098.9,5.47441e+08,2.2e+07,11088900.0
01/02/2006 11:00,1,2,1,11,0,5.98333,66.9167,0,1.45417e+06,166486,5.2854e+08,1.26559e+07,1454170.0
01/02/2006 12:00,1,2,1,12,0,7.15833,62.8333,0,0,396143,5.1704e+08,1.40333e+07,0.0
01/02/2006 13:00,1,2,1,13,0,8.51667,69,0,0,478873,5.10078e+08,1.43767e+07,0.0
01/02/2006 14:00,1,2,1,14,0,9.33333,79.25,0,0,1.15473e+06,5.12239e+08,1.36677e+07,0.0
01/02/2006 15:00,1,2,1,15,0,10.4333,78.3333,0,0,1.66201e+06,5.2251e+08,1.1199e+07,0.0
01/02/2006 16:00,1,2,1,16,0,11.3917,73.8333,0,0,2.336e+06,5.50677e+08,1.06099e+07,0.0
01/02/2006 17:00,1,2,1,17,0,10.6667,78.25,0,0,2.06802e+06,5.11402e+08,1.09106e+07,0.0
01/02/2006 18:00,1,2,1,18,0,10.0583,82,0,334464,463768,3.33166e+08,9.497e+06,334464.0
01/02/2006 19:00,1,2,1,19,0,10.625,80.25,0,0,0,2.00466e+08,8.14986e+06,0.0
01/02/2006 20:00,1,2,1,20,0,10.3583,83.6667,0,0,0,1.7908e+08,7.44273e+06,0.0
01/02/2006 21:00,1,2,1,21,0,9.84167,88.1667,0,0,0,1.58707e+08,7.77771e+06,0.0
01/02/2006 22:00,1,2,1,22,0,9.45,91.3333,0,0,0,1.31315e+08,6.98022e+06,0.0
01/02/2006 23:00,1,2,1,23,0,9.14167,93.5833,0,0,0,9.4794e+07,5.57002e+06,0.0
01/03/2006 00:00,1,3,2,0,0,9.33333,93.4167,0,0,0,7.01244e+07,5.5393e+06,0.0
01/03/2006 01:00,1,3,2,1,0,10.4333,91.25,0,0,0,6.15749e+07,5.30026e+06,0.0
01/03/2006 02:00,1,3,2,2,0,11.3333,89.4167,0,0,0,6.058e+07,785979,0.0
01/03/2006 03:00,1,3,2,3,0,11.5,89.5833,0,0,0,6.00703e+07,0,0.0
01/03/2006 04:00,1,3,2,4,0,10.625,91.75,0,0,0,6.00703e+07,0,0.0
01/03/2006 05:00,1,3,2,5,0,9.76667,94.75,0,0,0,6.39321e+07,0,0.0
01/03/2006 06:00,1,3,2,6,0,9.54167,95.4167,0,6.0603e+06,206577,9.20092e+07,1.17938e+07,6060300.0
01/03/2006 07:00,1,3,2,7,0,10.025,95,0,3.72394e+06,133799,1.28357e+08,1.08114e+07,3723940.0
01/03/2006 08:00,1,3,2,8,0,10.6917,93.8333,0,1.1168e+06,273784,2.99928e+08,9.68928e+06,1116800.0
01/03/2006 09:00,1,3,2,9,0,11.3083,91.25,0,81636.1,829777,5.13971e+08,1.07707e+07,81636.1
01/03/2006 10:00,1,3,2,10,0,11.075,91.75,0,0,2.36421e+06,5.34144e+08,1.09144e+07,0.0
01/03/2006 11:00,1,3,2,11,0,11.1083,91.25,0,0,4.00858e+06,5.26916e+08,1.12006e+07,0.0
01/03/2006 12:00,1,3,2,12,0,11.5167,89.4167,0,0,5.42527e+06,5.27535e+08,1.40204e+07,0.0
01/03/2006 13:00,1,3,2,13,0,11.95,87.8333,0,0,6.21096e+06,5.20496e+08,1.43736e+07,0.0
01/03/2006 14:00,1,3,2,14,0,13.25,84.0833,0,0,8.22835e+06,5.21655e+08,1.33751e+07,0.0
01/03/2006 15:00,1,3,2,15,0,14.1167,81.4167,0,0,1.14055e+07,5.23664e+08,1.13603e+07,0.0
01/03/2006 16:00,1,3,2,16,0,15.4833,77.5,0,0,1.04019e+07,5.5562e+08,1.08003e+07,0.0
01/03/2006 17:00,1,3,2,17,0,17.45,69.1667,0,0,9.56633e+06,5.18901e+08,1.09422e+07,0.0
01/03/2006 18:00,1,3,2,18,0,18.025,66.1667,0,9904.91,6.93895e+06,3.42108e+08,9.20366e+06,9904.91
01/03/2006 19:00,1,3,2,19,0,16.6167,72.25,0,0,2.95878e+06,2.39117e+08,8.18409e+06,0.0
01/03/2006 20:00,1,3,2,20,0,15.4083,76.5833,0,308736,1.12877e+06,1.96541e+08,7.73796e+06,308736.0
01/03/2006 21:00,1,3,2,21,0,14.2667,79.9167,0,0,1.21963e+06,1.7637e+08,7.4533e+06,0.0
01/03/2006 22:00,1,3,2,22,0,13.8917,82,0,37274.6,734144,1.49937e+08,7.01334e+06,37274.6
01/03/2006 23:00,1,3,2,23,0,13.8083,83.75,0,0,224058,1.04562e+08,6.07892e+06,0.0
01/04/2006 00:00,1,4,3,0,0,14.475,82.0833,0,0,0,7.73107e+07,5.03493e+06,0.0
01/04/2006 01:00,1,4,3,1,0,12.9417,85.8333,0,0,0,7.23617e+07,5.86092e+06,0.0
01/04/2006 02:00,1,4,3,2,0,11.6333,91.75,0,0,0,6.77664e+07,380762,0.0
01/04/2006 03:00,1,4,3,3,0,10.8083,95.3333,0,0,0,6.60589e+07,0,0.0
01/04/2006 04:00,1,4,3,4,0,10.6833,95.8333,0,0,0,6.72566e+07,0,0.0
01/04/2006 05:00,1,4,3,5,0,11.2167,95,0,0,0,7.11185e+07,0,0.0
01/04/2006 06:00,1,4,3,6,0,11.1833,94.4167,0,0,0,9.2638e+07,5.29237e+06,0.0
01/04/2006 07:00,1,4,3,7,0,11.45,94.5833,0,0,64561.6,1.28684e+08,7.04572e+06,0.0
01/04/2006 08:00,1,4,3,8,0,11.8167,94.4167,0,0,640851,3.00295e+08,8.42802e+06,0.0
01/04/2006 09:00,1,4,3,9,0,11.2583,94.5833,0,0,3.5519e+06,5.17743e+08,1.10754e+07,0.0
01/04/2006 10:00,1,4,3,10,0,14.0667,84.5,0,0,8.45878e+06,5.36334e+08,1.16648e+07,0.0
01/04/2006 11:00,1,4,3,11,0,16.4,77.5833,0,0,1.42825e+07,5.35628e+08,1.1157e+07,0.0
01/04/2006 12:00,1,4,3,12,0,18.7333,68.0833,0,0,2.46122e+07,5.42817e+08,1.39847e+07,0.0
01/04/2006 13:00,1,4,3,13,0,21.6833,54.5833,0,0,6.12297e+07,5.70829e+08,1.43683e+07,0.0
01/04/2006 14:00,1,4,3,14,0,21.9,50.5833,0,0,6.99855e+07,5.81069e+08,1.23292e+07,0.0
01/04/2006 15:00,1,4,3,15,0,21.05,52.75,0,0,5.83251e+07,5.74488e+08,1.14752e+07,0.0
01/04/2006 16:00,1,4,3,16,0,19.925,56.9167,0,0,4.00747e+07,5.69676e+08,1.17057e+07,0.0
01/04/2006 17:00,1,4,3,17,0,18.6,61.3333,0,0,2.02351e+07,5.18846e+08,1.11677e+07,0.0
01/04/2006 18:00,1,4,3,18,0,17.1083,65.9167,0,193144,9.94557e+06,3.44682e+08,9.47936e+06,193144.0
01/04/2006 19:00,1,4,3,19,0,15.4083,75,0,236853,6.91879e+06,2.43207e+08,8.50057e+06,236853.0
01/04/2006 20:00,1,4,3,20,0,13.3583,85.25,0,73482.6,3.34168e+06,2.0896e+08,7.51918e+06,73482.6
01/04/2006 21:00,1,4,3,21,0,12.8083,89.5833,0,24154.1,2.54591e+06,1.81789e+08,7.06335e+06,24154.1
01/04/2006 22:00,1,4,3,22,0,11.8167,92.3333,0,0,1.59103e+06,1.49405e+08,6.31034e+06,0.0
01/04/2006 23:00,1,4,3,23,0,10.9,95.75,0,0,815181,1.06193e+08,6.72824e+06,0.0
01/05/2006 00:00,1,5,4,0,0,10.4917,98.1667,0,0,0,8.48242e+07,4.39269e+06,0.0
01/05/2006 01:00,1,5,4,1,0,10.0833,99.5833,0,0,0,6.79628e+07,6.39781e+06,0.0
01/05/2006 02:00,1,5,4,2,0,10,100,0,0,0,7.06453e+07,0,0.0
01/05/2006 03:00,1,5,4,3,0,10.0583,100,0,0,0,6.91759e+07,0,0.0
01/05/2006 04:00,1,5,4,4,0,9.98333,100,0,0,0,6.72566e+07,0,0.0
01/05/2006 05:00,1,5,4,5,0,9.78333,100,0,0,0,6.8723e+07,0,0.0
01/05/2006 06:00,1,5,4,6,0,10.3417,100,0,0,0,9.2638e+07,5.77059e+06,0.0
01/05/2006 07:00,1,5,4,7,0,11.9667,100,0,0,59269.6,1.28679e+08,6.68737e+06,0.0
01/05/2006 08:00,1,5,4,8,0,12.6833,100,0,98813.9,724088,2.99407e+08,8.48814e+06,98813.9
01/05/2006 09:00,1,5,4,9,0,14.175,97.6667,0,40455.3,4.45345e+06,5.16814e+08,1.10842e+07,40455.3
01/05/2006 10:00,1,5,4,10,0,16.2917,94.8333,0,0,8.9103e+06,5.4069e+08,1.2058e+07,0.0
01/05/2006 11:00,1,5,4,11,0,15.6583,95.1667,0,0,1.0678e+07,5.34366e+08,1.11511e+07,0.0
01/05/2006 12:00,1,5,4,12,0,15.4583,93.0833,0,0,1.17397e+07,5.33849e+08,1.38623e+07,0.0
01/05/2006 13:00,1,5,4,13,0,17.6917,81.0833,0,0,1.44844e+07,5.24084e+08,1.4486e+07,0.0
01/05/2006 14:00,1,5,4,14,0,20.3583,64.6667,0,0,4.11588e+07,5.52243e+08,1.20698e+07,0.0
01/05/2006 15:00,1,5,4,15,0,21.4583,55.0833,0,0,5.86982e+07,5.69395e+08,1.15183e+07,0.0
01/05/2006 16:00,1,5,4,16,0,20.8,55.3333,0,0,4.47374e+07,5.77462e+08,1.16966e+07,0.0
01/05/2006 17:00,1,5,4,17,0,19.1917,61.6667,0,0,2.21287e+07,5.2912e+08,1.14413e+07,0.0
01/05/2006 18:00,1,5,4,18,0,16.3583,71.4167,0,106686,8.12972e+06,3.42185e+08,9.41546e+06,106686.0
01/05/2006 19:00,1,5,4,19,0,14.2,78.3333,0,427973,5.14275e+06,2.34422e+08,8.71054e+06,427973.0
01/05/2006 20:00,1,5,4,20,0,14.4,78.25,0,23883.5,2.16359e+06,2.08773e+08,7.47591e+06,23883.5
01/05/2006 21:00,1,5,4,21,0,15.3083,74.6667,0,31823.5,2.60708e+06,1.83746e+08,7.08821e+06,31823.5
01/05/2006 22:00,1,5,4,22,0,15.25,72.4167,0,197205,1.95367e+06,1.59515e+08,6.29865e+06,197205.0
01/05/2006 23:00,1,5,4,23,0,15.2917,55.6667,0,0,886740,1.0781e+08,6.73432e+06,0.0
01/06/2006 00:00,1,6,5,0,0,13.2833,64.4167,0,0,0,8.09905e+07,4.39276e+06,0.0
01/06/2006 01:00,1,6,5,1,0,12.6333,58.5833,0,0,0,6.75635e+07,6.40802e+06,0.0
01/06/2006 02:00,1,6,5,2,0,13.0083,43.4167,0,0,0,7.23264e+07,0,0.0
01/06/2006 03:00,1,6,5,3,0,12.8,40.6667,0,0,0,6.72566e+07,0,0.0
01/06/2006 04:00,1,6,5,4,0,12.2167,39.5833,0,0,0,6.60589e+07,0,0.0
01/06/2006 05:00,1,6,5,5,0,10.75,44.0833,0,0,0,7.11185e+07,0,0.0
01/06/2006 06:00,1,6,5,6,0,9.94167,46.4167,0,0,0,9.2638e+07,5.88649e+06,0.0
01/06/2006 07:00,1,6,5,7,0,9.49167,47.1667,0,283004,38783.9,1.29856e+08,6.89758e+06,283004.0
01/06/2006 08:00,1,6,5,8,0,9.2,46.8333,0,28085.7,295157,2.97208e+08,8.40837e+06,28085.7
01/06/2006 09:00,1,6,5,9,0,10.075,42.5,0,70091.1,3.19694e+06,5.02075e+08,1.11212e+07,70091.1
01/06/2006 10:00,1,6,5,10,0,10.9917,40.5833,0,0,8.28818e+06,5.34602e+08,1.21351e+07,0.0
01/06/2006 11:00,1,6,5,11,0,11.725,37.5,0,0,1.2142e+07,5.30364e+08,1.11567e+07,0.0
01/06/2006 12:00,1,6,5,12,0,12.9167,28,0,0,1.4624e+07,5.30487e+08,1.38379e+07,0.0
01/06/2006 13:00,1,6,5,13,0,14.3167,23.5833,0,0,1.56735e+07,5.25273e+08,1.45171e+07,0.0
01/06/2006 14:00,1,6,5,14,0,15.075,24,0,0,1.7508e+07,5.28592e+08,1.21205e+07,0.0
01/06/2006 15:00,1,6,5,15,0,15.3167,23.4167,0,0,1.64317e+07,5.2869e+08,1.15289e+07,0.0
01/06/2006 16:00,1,6,5,16,0,15.225,24.1667,0,0,1.54417e+07,5.38796e+08,1.17195e+07,0.0
01/06/2006 17:00,1,6,5,17,0,14.4,24.4167,0,0,1.19582e+07,5.12749e+08,1.13755e+07,0.0
01/06/2006 18:00,1,6,5,18,0,12.15,30.4167,0,161303,6.3096e+06,3.39844e+08,9.4755e+06,161303.0
01/06/2006 19:00,1,6,5,19,0,10.6667,36.1667,0,332944,3.03649e+06,2.28391e+08,8.61665e+06,332944.0
01/06/2006 20:00,1,6,5,20,0,10.0333,37.5833,0,0,1.52421e+06,2.01265e+08,7.44421e+06,0.0
01/06/2006 21:00,1,6,5,21,0,9.05833,38.5833,0,0,1.23259e+06,1.76029e+08,7.05651e+06,0.0
01/06/2006 22:00,1,6,5,22,0,8.075,39.5833,0,0,340912,1.49327e+08,6.19261e+06,0.0
01/06/2006 23:00,1,6,5,23,0,7.23333,41.1667,0,0,0,1.04544e+08,6.73851e+06,0.0
01/07/2006 00:00,1,7,6,0,0,6.60833,43.75,0,0,0,7.92336e+07,4.39403e+06,0.0
01/07/2006 01:00,1,7,6,1,0,6.225,46.1667,0,0,0,6.40774e+07,1.54078e+06,0.0
01/07/2006 02:00,1,7,6,2,0,5.98333,48.1667,0,0,0,6.09677e+07,0,0.0
01/07/2006 03:00,1,7,6,3,0,5.725,50.1667,0,0,0,6.19201e+07,0,0.0
01/07/2006 04:00,1,7,6,4,0,5.30833,49.8333,0,0,0,5.47337e+07,0,0.0
01/07/2006 05:00,1,7,6,5,0,4.86667,50.1667,0,0,0,5.48928e+07,0,0.0
01/07/2006 06:00,1,7,6,6,0,4.35,49.25,0,6.85859e+06,100239,7.24333e+07,1.24472e+07,6858590.0
01/07/2006 07:00,1,7,6,7,0,3.925,48.5833,0,2.03542e+06,29095,9.41913e+07,9.0422e+06,2035420.0
01/07/2006 08:00,1,7,6,8,0,3.45,47.25,0,9.37184e+06,17231.5,1.69992e+08,1.677e+07,9371840.0
01/07/2006 09:00,1,7,6,9,0,3.025,44.8333,0,5.13285e+06,14931.4,2.24093e+08,1.30938e+07,5132850.0
01/07/2006 10:00,1,7,6,10,0,3.01667,42.25,0,1.31634e+06,238694,2.4029e+08,9.84088e+06,1316340.0
01/07/2006 11:00,1,7,6,11,0,3.21667,39.8333,0,857072,713620,2.27441e+08,9.16148e+06,857072.0
01/07/2006 12:00,1,7,6,12,0,4.175,35.5,0,378303,2.7041e+06,2.11547e+08,9.15608e+06,378303.0
01/07/2006 13:00,1,7,6,13,0,5.325,31.8333,0,11472.3,4.01835e+06,1.80078e+08,8.40964e+06,11472.3
01/07/2006 14:00,1,7,6,14,0,6.16667,29.8333,0,138314,5.23807e+06,1.15686e+08,8.21643e+06,138314.0
