Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,1.05193e+08,0,0,2.58304e+08,0,105193000.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,1.02403e+08,0,0,2.53468e+08,0,102403000.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,1.04438e+08,0,0,2.55504e+08,0,104438000.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,1.07859e+08,0,0,2.58925e+08,1.54078e+06,107859000.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,1.10552e+08,0,0,2.61625e+08,1.00078e+07,110552000.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,1.10734e+08,0,0,2.6403e+08,7.52124e+06,110734000.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,8.24255e+07,0,0,2.47976e+08,7.6229e+06,82425500.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,1.04347e+08,0,0,2.55145e+08,7.71506e+06,104347000.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,8.31156e+07,0,0,2.10425e+08,7.76077e+06,83115600.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,8.04804e+07,0,0,2.0288e+08,7.76433e+06,80480400.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,8.03889e+07,0,0,2.00512e+08,7.81399e+06,80388900.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,7.41816e+07,0,0,1.92937e+08,9.90536e+06,74181600.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,8.03135e+07,0,0,2.03021e+08,8.02172e+06,80313500.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,6.76981e+07,0,0,1.87971e+08,1.02506e+07,67698100.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,8.08584e+07,0,0,2.05728e+08,7.95053e+06,80858400.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,7.00268e+07,0,0,1.94247e+08,7.7816e+06,70026800.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,6.81066e+07,0,0,2.05124e+08,7.74486e+06,68106600.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,7.01308e+07,0,0,2.34459e+08,7.62758e+06,70130800.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,8.11853e+07,0,0,2.44742e+08,7.49191e+06,81185300.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,8.59578e+07,0,0,2.49509e+08,1.84971e+06,85957800.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,7.17796e+07,0,0,2.34036e+08,1.54047e+06,71779600.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,9.47257e+07,0,0,2.62365e+08,0,94725700.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,8.62041e+07,0,0,2.51476e+08,0,86204100.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,8.30572e+07,0,0,2.46606e+08,0,83057200.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,7.16657e+07,0,0,2.32637e+08,1.54076e+06,71665700.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,6.93023e+07,0,0,2.29858e+08,0,69302300.0
01/02/2006 03:00,1,2,1,3,0,3.175,82.9167,7.37624e+07,0,0,2.33985e+08,0,73762400.0
01/02/2006 04:00,1,2,1,4,0,3.475,78.25,2.73076e+08,0,245742,4.70701e+08,1.54045e+06,273076000.0
01/02/2006 05:00,1,2,1,5,0,3.83333,79.3333,6.78567e+08,0,0,9.17686e+08,1.09035e+07,678567000.0
01/02/2006 06:00,1,2,1,6,0,3.70833,82.1667,5.31012e+06,0,141055,3.57154e+08,1.0798e+07,5310120.0
01/02/2006 07:00,1,2,1,7,0,3.61667,82.4167,2.54147e+08,0,1.7111e+06,1.12551e+09,1.63079e+07,254147000.0
01/02/2006 08:00,1,2,1,8,0,3.875,80.8333,6.40767e+07,0,1.00977e+07,1.35586e+09,2.00635e+07,64076700.0
01/02/2006 09:00,1,2,1,9,0,4.58333,77.0833,1.29763e+06,0,1.17682e+07,1.27251e+09,2.11119e+07,1297630.0
01/02/2006 10:00,1,2,1,10,0,5.23333,72.6667,0,0,1.32021e+07,1.22637e+09,2.30056e+07,0.0
01/02/2006 11:00,1,2,1,11,0,5.98333,66.9167,0,0,1.37157e+07,1.16032e+09,2.37659e+07,0.0
01/02/2006 12:00,1,2,1,12,0,7.15833,62.8333,0,0,1.31323e+07,1.11527e+09,2.87078e+07,0.0
01/02/2006 13:00,1,2,1,13,0,8.51667,69,0,0,1.54499e+07,1.12123e+09,2.44038e+07,0.0
01/02/2006 14:00,1,2,1,14,0,9.33333,79.25,0,0,1.68244e+07,1.13909e+09,1.94145e+07,0.0
01/02/2006 15:00,1,2,1,15,0,10.4333,78.3333,0,0,1.7865e+07,1.16512e+09,1.96734e+07,0.0
01/02/2006 16:00,1,2,1,16,0,11.3917,73.8333,0,0,1.80468e+07,1.17652e+09,2.24176e+07,0.0
01/02/2006 17:00,1,2,1,17,0,10.6667,78.25,0,0,1.21054e+07,7.98776e+08,1.70932e+07,0.0
01/02/2006 18:00,1,2,1,18,0,10.0583,82,221469,0,8.10255e+06,5.42575e+08,1.42283e+07,221469.0
01/02/2006 19:00,1,2,1,19,0,10.625,80.25,80724.6,0,7.37679e+06,4.68974e+08,1.22392e+07,80724.6
01/02/2006 20:00,1,2,1,20,0,10.3583,83.6667,82120.7,0,6.63234e+06,4.0453e+08,1.18193e+07,82120.7
01/02/2006 21:00,1,2,1,21,0,9.84167,88.1667,0,0,5.78583e+06,3.56049e+08,1.01365e+07,0.0
01/02/2006 22:00,1,2,1,22,0,9.45,91.3333,0,0,3.8774e+06,2.50763e+08,8.21708e+06,0.0
01/02/2006 23:00,1,2,1,23,0,9.14167,93.5833,0,0,2.38218e+06,1.81852e+08,7.83095e+06,0.0
01/03/2006 00:00,1,3,2,0,0,9.33333,93.4167,0,0,1.34203e+06,1.75632e+08,5.22765e+06,0.0
01/03/2006 01:00,1,3,2,1,0,10.4333,91.25,0,0,0,1.49474e+08,0,0.0
01/03/2006 02:00,1,3,2,2,0,11.3333,89.4167,0,0,0,1.48014e+08,1.54076e+06,0.0
01/03/2006 03:00,1,3,2,3,0,11.5,89.5833,0,0,0,1.48112e+08,0,0.0
01/03/2006 04:00,1,3,2,4,0,10.625,91.75,7.45254e+06,0,512702,1.93331e+08,0,7452540.0
01/03/2006 05:00,1,3,2,5,0,9.76667,94.75,1.66438e+07,0,1.16483e+06,2.49258e+08,1.21762e+07,16643800.0
