Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,0,7.56613e+07,0,1.11374e+08,7.56613e+07,75661300.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,0,6.92897e+07,0,1.11856e+08,6.92897e+07,69289700.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,0,9.48772e+07,0,1.13448e+08,9.48772e+07,94877200.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,0,5.97595e+07,0,1.12452e+08,6.13e+07,59759500.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,0,8.72807e+07,0,1.14021e+08,9.58541e+07,87280700.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,0,6.75902e+07,0,1.13517e+08,7.51515e+07,67590200.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,0,8.6639e+07,0,1.2496e+08,9.25129e+07,86639000.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,0,5.36826e+07,0,1.06788e+08,6.13012e+07,53682600.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,0,6.98861e+07,0,9.56743e+07,7.6181e+07,69886100.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,0,4.63769e+07,0,9.02522e+07,5.43523e+07,46376900.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,0,5.68411e+07,0,8.96051e+07,6.28663e+07,56841100.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,0,5.03377e+07,0,8.90854e+07,5.8479e+07,50337700.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,0,6.00857e+07,0,8.80989e+07,6.83325e+07,60085700.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,0,3.97058e+07,0,8.54583e+07,4.81438e+07,39705800.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,0,4.83088e+07,0,8.90861e+07,5.50153e+07,48308800.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,0,4.41404e+07,0,8.77585e+07,5.15723e+07,44140400.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,0,4.89605e+07,0,9.63904e+07,5.61386e+07,48960500.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,0,4.40453e+07,0,1.18763e+08,5.06774e+07,44045300.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,0,7.67465e+07,0,1.23883e+08,8.25212e+07,76746500.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,0,5.59889e+07,0,1.20245e+08,5.78945e+07,55988900.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,0,5.42163e+07,0,1.21779e+08,5.57571e+07,54216300.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,0,4.33132e+07,0,1.19277e+08,4.33132e+07,43313200.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,0,7.41224e+07,0,1.24314e+08,7.41224e+07,74122400.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,0,4.96742e+07,0,1.20242e+08,4.96742e+07,49674200.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,0,4.11044e+07,0,1.18951e+08,4.26452e+07,41104400.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,0,3.79061e+07,0,1.14889e+08,3.79061e+07,37906100.0
01/02/2006 03:00,1,2,1,3,0,3.175,82.9167,0,4.55522e+07,0,1.22015e+08,4.55522e+07,45552200.0
01/02/2006 04:00,1,2,1,4,0,3.475,78.25,0,5.20889e+08,0,1.67789e+08,5.27046e+08,520889000.0
01/02/2006 05:00,1,2,1,5,0,3.83333,79.3333,0,5.25713e+08,0,1.91699e+08,5.33967e+08,525713000.0
01/02/2006 06:00,1,2,1,6,0,3.70833,82.1667,0,0,158587,4.05627e+08,1.14159e+07,0.0
01/02/2006 07:00,1,2,1,7,0,3.61667,82.4167,0,1.90297e+08,3.54985e+06,8.81365e+08,2.05383e+08,190297000.0
01/02/2006 08:00,1,2,1,8,0,3.875,80.8333,0,6.03484e+07,9.15163e+06,9.8352e+08,7.69111e+07,60348400.0
01/02/2006 09:00,1,2,1,9,0,4.58333,77.0833,0,2.25572e+07,1.13583e+07,9.72382e+08,4.09662e+07,22557200.0
01/02/2006 10:00,1,2,1,10,0,5.23333,72.6667,0,1.35702e+07,1.29422e+07,9.57701e+08,3.28596e+07,13570200.0
01/02/2006 11:00,1,2,1,11,0,5.98333,66.9167,0,8.962e+06,1.27544e+07,9.24687e+08,3.07065e+07,8962000.0
01/02/2006 12:00,1,2,1,12,0,7.15833,62.8333,0,438973,1.45666e+07,9.10187e+08,2.31052e+07,438973.0
01/02/2006 13:00,1,2,1,13,0,8.51667,69,0,0,1.63998e+07,9.12028e+08,1.77596e+07,0.0
01/02/2006 14:00,1,2,1,14,0,9.33333,79.25,0,0,1.77716e+07,9.15833e+08,1.56565e+07,0.0
01/02/2006 15:00,1,2,1,15,0,10.4333,78.3333,0,0,1.86817e+07,9.18968e+08,1.71544e+07,0.0
01/02/2006 16:00,1,2,1,16,0,11.3917,73.8333,0,3084.44,1.35345e+07,6.34448e+08,1.48722e+07,3084.44
01/02/2006 17:00,1,2,1,17,0,10.6667,78.25,0,3.54318e+06,8.50455e+06,4.02801e+08,1.65818e+07,3543180.0
01/02/2006 18:00,1,2,1,18,0,10.0583,82,0,8.16198e+06,9.06342e+06,3.64665e+08,1.86527e+07,8161980.0
01/02/2006 19:00,1,2,1,19,0,10.625,80.25,0,8.12609e+06,6.03143e+06,3.10185e+08,1.9015e+07,8126090.0
01/02/2006 20:00,1,2,1,20,0,10.3583,83.6667,0,1.02467e+07,6.80357e+06,2.8038e+08,1.89309e+07,10246700.0
01/02/2006 21:00,1,2,1,21,0,9.84167,88.1667,0,2.50323e+06,4.72504e+06,2.04678e+08,1.06646e+07,2503230.0
01/02/2006 22:00,1,2,1,22,0,9.45,91.3333,0,0,3.2496e+06,1.40913e+08,6.00273e+06,0.0
