Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,0,1.05255e+08,0,6.99704e+07,1.05255e+08,105255000.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,0,9.98813e+07,0,6.85956e+07,9.98813e+07,99881300.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,0,1.1489e+08,0,7.1772e+07,1.1489e+08,114890000.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,0,9.73601e+07,0,6.86204e+07,9.73601e+07,97360100.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,0,1.22657e+08,0,7.19248e+07,1.31915e+08,122657000.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,0,9.25909e+07,0,7.00747e+07,9.85791e+07,92590900.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,0,8.00129e+07,0,8.24731e+07,8.6075e+07,80012900.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,0,7.49173e+07,0,6.7944e+07,8.10654e+07,74917300.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,0,8.35339e+07,0,5.92112e+07,8.97023e+07,83533900.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,0,8.04751e+07,0,5.51617e+07,8.66521e+07,80475100.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,0,8.87052e+07,0,5.79375e+07,9.49295e+07,88705200.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,0,6.75282e+07,0,5.4387e+07,7.38399e+07,67528200.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,0,8.77979e+07,0,5.73192e+07,9.41648e+07,87797900.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,0,6.94443e+07,0,5.39063e+07,7.70173e+07,69444300.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,0,7.43832e+07,0,5.55883e+07,8.18166e+07,74383200.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,0,6.38038e+07,0,5.45326e+07,6.9985e+07,63803800.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,0,7.68139e+07,0,6.25311e+07,8.29609e+07,76813900.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,0,6.16653e+07,0,8.05168e+07,6.7367e+07,61665300.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,0,8.83137e+07,0,7.98229e+07,9.26332e+07,88313700.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,0,7.47292e+07,0,7.68852e+07,7.82346e+07,74729200.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,0,1.03719e+08,0,8.00765e+07,1.03719e+08,103719000.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,0,8.15335e+07,0,7.69247e+07,8.15335e+07,81533500.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,0,8.59776e+07,0,8.00512e+07,8.59776e+07,85977600.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,0,7.94e+07,0,7.68871e+07,7.94e+07,79400000.0
