Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,1.07467e+07,0,98725.5,1.39301e+08,0,10746700.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,1.22282e+07,0,153979,1.41518e+08,0,12228200.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,1.53691e+07,0,50963.5,1.51135e+08,1.54075e+06,15369100.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,1.38499e+07,0,79445.4,1.51679e+08,0,13849900.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,1.65679e+07,0,84222,1.6248e+08,1.38082e+07,16567900.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,1.3547e+07,0,20142,1.43665e+08,7.73339e+06,13547000.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,1.4624e+07,0,208004,1.76612e+08,9.10341e+06,14624000.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,1.04106e+07,0,32144.3,1.34767e+08,8.61993e+06,10410600.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,1.11504e+07,0,144640,1.19889e+08,9.95829e+06,11150400.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,7.38383e+06,0,172271,1.06852e+08,9.96804e+06,7383830.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,7.49452e+06,0,248634,1.13544e+08,9.15349e+06,7494520.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,6.52409e+06,0,206806,1.0541e+08,9.77249e+06,6524090.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,7.2652e+06,0,151123,1.13217e+08,1.08632e+07,7265200.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,6.00762e+06,0,215923,1.04903e+08,1.13365e+07,6007620.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,6.90678e+06,0,141327,1.13327e+08,1.02184e+07,6906780.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,5.86359e+06,0,281327,1.06893e+08,9.48142e+06,5863590.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,8.02503e+06,0,211191,1.2574e+08,8.45998e+06,8025030.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,7.61299e+06,0,224423,1.55107e+08,9.78258e+06,7612990.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,1.14556e+07,0,127576,1.59885e+08,7.69522e+06,11455600.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,9.6836e+06,0,66636.2,1.50924e+08,3.68753e+06,9683600.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,1.01258e+07,0,150979,1.5857e+08,0,10125800.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,7.22388e+06,0,69297.2,1.48464e+08,0,7223880.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,8.93841e+06,0,132620,1.57364e+08,1.54074e+06,8938410.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,7.48794e+06,0,71345.4,1.48731e+08,0,7487940.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,7.46782e+06,0,269993,1.53713e+08,1.35038e+07,7467820.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,6.11006e+06,0,207952,1.43762e+08,0,6110060.0
01/02/2006 03:00,1,2,1,3,0,3.175,82.9167,7.2524e+06,0,260809,1.51602e+08,1.54075e+06,7252400.0
01/02/2006 04:00,1,2,1,4,0,3.475,78.25,6.39302e+06,0,194596,1.43573e+08,0,6393020.0
01/02/2006 05:00,1,2,1,5,0,3.83333,79.3333,5.49051e+07,0,764922,2.23459e+08,0,54905100.0
01/02/2006 06:00,1,2,1,6,0,3.70833,82.1667,1.71979e+08,0,700224,4.44274e+08,1.10681e+07,171979000.0
01/02/2006 07:00,1,2,1,7,0,3.61667,82.4167,1.00366e+08,0,438323,4.31689e+08,1.2343e+07,100366000.0
01/02/2006 08:00,1,2,1,8,0,3.875,80.8333,8.25368e+07,0,0,6.34986e+08,1.63018e+07,82536800.0
01/02/2006 09:00,1,2,1,9,0,4.58333,77.0833,1.8491e+07,0,0,8.46418e+08,2.15473e+07,18491000.0
01/02/2006 10:00,1,2,1,10,0,5.23333,72.6667,4.74436e+06,0,65686.5,8.27708e+08,2.37183e+07,4744360.0
