Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,1.31908e+08,0,0,2.31198e+08,0,131908000.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,1.18941e+08,0,0,2.16314e+08,0,118941000.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,1.20831e+08,0,0,2.18204e+08,1.54076e+06,120831000.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,1.24129e+08,0,0,2.21502e+08,0,124129000.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,1.25277e+08,0,0,2.22659e+08,1.15815e+07,125277000.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,1.31027e+08,0,0,2.30741e+08,7.44927e+06,131027000.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,9.36094e+07,0,0,2.10235e+08,7.5418e+06,93609400.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,1.19358e+08,0,0,2.21221e+08,7.6305e+06,119358000.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,9.44762e+07,0,0,1.73266e+08,9.59433e+06,94476200.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,8.72201e+07,0,0,1.65239e+08,7.67849e+06,87220100.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,8.74617e+07,0,0,1.64895e+08,8.69393e+06,87461700.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,8.63429e+07,0,0,1.63559e+08,8.82377e+06,86342900.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,9.32034e+07,0,0,1.70583e+08,9.92814e+06,93203400.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,7.45759e+07,0,0,1.52118e+08,1.01372e+07,74575900.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,9.42952e+07,0,0,1.72594e+08,9.56028e+06,94295200.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,8.14784e+07,0,0,1.58786e+08,7.96214e+06,81478400.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,7.85035e+07,0,0,1.63915e+08,7.66281e+06,78503500.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,8.1636e+07,0,0,2.00594e+08,8.16757e+06,81636000.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,9.9865e+07,0,0,2.10734e+08,6.81674e+06,99865000.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,1.07616e+08,0,0,2.18479e+08,3.66447e+06,107616000.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,9.25273e+07,0,0,2.03387e+08,0,92527300.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,1.19437e+08,0,0,2.33107e+08,0,119437000.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,1.06242e+08,0,0,2.17101e+08,1.54055e+06,106242000.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,1.04421e+08,0,0,2.16437e+08,0,104421000.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,8.87348e+07,0,0,2.00946e+08,1.22114e+07,88734800.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,8.87899e+07,0,0,1.98325e+08,0,88789900.0
