Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,2.03948e+08,0,270382,3.23209e+08,0,203948000.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,2.03754e+08,0,0,3.14488e+08,0,203754000.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,2.09793e+08,0,0,3.20527e+08,1.54077e+06,209793000.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,2.17064e+08,0,0,3.27798e+08,0,217064000.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,2.15216e+08,0,0,3.25959e+08,1.1604e+07,215216000.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,2.14386e+08,0,0,3.26903e+08,7.44938e+06,214386000.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,1.90476e+08,0,0,3.18325e+08,7.54715e+06,190476000.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,2.35296e+08,0,0,3.4849e+08,7.63407e+06,235296000.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,1.80866e+08,0,0,2.69004e+08,9.60245e+06,180866000.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,1.57648e+08,0,0,2.43026e+08,7.68413e+06,157648000.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,1.44427e+08,0,0,2.29122e+08,9.67869e+06,144427000.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,1.26249e+08,0,0,2.10809e+08,7.84558e+06,126249000.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,1.31883e+08,0,0,2.16341e+08,9.91507e+06,131883000.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,1.07104e+08,0,0,1.91613e+08,1.01613e+07,107104000.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,1.45597e+08,0,0,2.34223e+08,9.84463e+06,145597000.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,1.42956e+08,0,158954,2.33366e+08,7.70339e+06,142956000.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,1.51747e+08,0,0,2.49009e+08,9.51526e+06,151747000.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,1.62574e+08,0,0,2.92197e+08,7.58842e+06,162574000.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,1.73007e+08,0,0,2.96473e+08,7.4125e+06,173007000.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,1.71591e+08,0,0,2.9505e+08,1.82987e+06,171591000.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,1.59054e+08,0,0,2.82511e+08,1.54052e+06,159054000.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,2.009e+08,0,0,3.28092e+08,0,200900000.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,1.77961e+08,0,0,3.01418e+08,0,177961000.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,1.73468e+08,0,0,2.96925e+08,1.5405e+06,173468000.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,1.46645e+08,0,0,2.90788e+08,1.21974e+07,146645000.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,1.49813e+08,0,0,2.74172e+08,5.54962e+06,149813000.0
01/02/2006 03:00,1,2,1,3,0,3.175,82.9167,1.51097e+08,0,0,2.74197e+08,0,151097000.0
01/02/2006 04:00,1,2,1,4,0,3.475,78.25,1.49022e+08,0,0,2.7167e+08,0,149022000.0
01/02/2006 05:00,1,2,1,5,0,3.83333,79.3333,1.87733e+08,0,0,3.1419e+08,1.54079e+06,187733000.0
01/02/2006 06:00,1,2,1,6,0,3.70833,82.1667,1.53869e+08,0,0,2.94072e+08,0,153869000.0
01/02/2006 07:00,1,2,1,7,0,3.61667,82.4167,7.90712e+08,0,189510,9.66815e+08,1.24023e+07,790712000.0
01/02/2006 08:00,1,2,1,8,0,3.875,80.8333,7.53748e+08,0,190426,9.9537e+08,1.30139e+07,753748000.0
01/02/2006 09:00,1,2,1,9,0,4.58333,77.0833,4.5881e+08,0,142097,9.38211e+08,1.69152e+07,458810000.0
01/02/2006 10:00,1,2,1,10,0,5.23333,72.6667,2.56387e+08,0,2.05372e+06,9.09479e+08,2.27742e+07,256387000.0
01/02/2006 11:00,1,2,1,11,0,5.98333,66.9167,1.72338e+08,0,2.26295e+06,7.98489e+08,2.28564e+07,172338000.0
01/02/2006 12:00,1,2,1,12,0,7.15833,62.8333,7.85596e+07,0,3.68032e+06,6.98849e+08,2.41454e+07,78559600.0
01/02/2006 13:00,1,2,1,13,0,8.51667,69,3.84928e+07,0,6.77776e+06,6.63021e+08,2.63528e+07,38492800.0
01/02/2006 14:00,1,2,1,14,0,9.33333,79.25,2.90281e+07,0,1.11932e+07,6.49079e+08,2.9567e+07,29028100.0
01/02/2006 15:00,1,2,1,15,0,10.4333,78.3333,1.62132e+07,0,5.15399e+06,5.98275e+08,2.98847e+07,16213200.0
01/02/2006 16:00,1,2,1,16,0,11.3917,73.8333,3.45449e+06,0,4.58627e+06,6.18795e+08,2.11201e+07,3454490.0
01/02/2006 17:00,1,2,1,17,0,10.6667,78.25,5.23185e+06,0,5.01843e+06,7.01997e+08,2.18426e+07,5231850.0
01/02/2006 18:00,1,2,1,18,0,10.0583,82,6.2231e+06,0,5.45629e+06,7.40588e+08,2.31644e+07,6223100.0
01/02/2006 19:00,1,2,1,19,0,10.625,80.25,9.35425e+06,0,4.49418e+06,6.26587e+08,2.24214e+07,9354250.0
01/02/2006 20:00,1,2,1,20,0,10.3583,83.6667,3.98983e+07,0,2.50155e+06,4.28172e+08,1.67926e+07,39898300.0
01/02/2006 21:00,1,2,1,21,0,9.84167,88.1667,4.84686e+07,0,1.29176e+06,3.40565e+08,1.5218e+07,48468600.0
01/02/2006 22:00,1,2,1,22,0,9.45,91.3333,8.1378e+07,0,0,3.47294e+08,1.30232e+07,81378000.0
01/02/2006 23:00,1,2,1,23,0,9.14167,93.5833,8.00294e+07,0,0,3.16156e+08,1.18815e+07,80029400.0
01/03/2006 00:00,1,3,2,0,0,9.33333,93.4167,5.53608e+07,0,0,2.62908e+08,9.98966e+06,55360800.0
01/03/2006 01:00,1,3,2,1,0,10.4333,91.25,0,0,0,1.33329e+08,9.02172e+06,0.0
01/03/2006 02:00,1,3,2,2,0,11.3333,89.4167,0,0,0,1.0568e+08,4.33893e+06,0.0
01/03/2006 03:00,1,3,2,3,0,11.5,89.5833,0,0,0,1.04422e+08,1.54077e+06,0.0
01/03/2006 04:00,1,3,2,4,0,10.625,91.75,0,0,0,1.03969e+08,0,0.0
01/03/2006 05:00,1,3,2,5,0,9.76667,94.75,0,0,0,1.04042e+08,0,0.0
01/03/2006 06:00,1,3,2,6,0,9.54167,95.4167,0,0,0,1.21525e+08,1.54064e+06,0.0
01/03/2006 07:00,1,3,2,7,0,10.025,95,2.28176e+08,0,0,4.00195e+08,1.21102e+07,228176000.0
01/03/2006 08:00,1,3,2,8,0,10.6917,93.8333,1.46357e+08,0,5.86298e+06,4.09053e+08,1.25968e+07,146357000.0
01/03/2006 09:00,1,3,2,9,0,11.3083,91.25,4.91033e+07,0,5.43145e+06,5.1424e+08,1.70154e+07,49103300.0
01/03/2006 10:00,1,3,2,10,0,11.075,91.75,2.09038e+06,0,3.97064e+06,5.82518e+08,2.32963e+07,2090380.0
01/03/2006 11:00,1,3,2,11,0,11.1083,91.25,43869.1,0,4.93458e+06,5.73916e+08,2.20011e+07,43869.1
01/03/2006 12:00,1,3,2,12,0,11.5167,89.4167,0,0,5.73112e+06,5.74146e+08,2.51724e+07,0.0
01/03/2006 13:00,1,3,2,13,0,11.95,87.8333,0,0,6.44038e+06,5.75692e+08,2.63963e+07,0.0
01/03/2006 14:00,1,3,2,14,0,13.25,84.0833,0,0,7.74556e+06,5.90493e+08,2.88199e+07,0.0
01/03/2006 15:00,1,3,2,15,0,14.1167,81.4167,0,0,7.53622e+06,5.73313e+08,2.97783e+07,0.0
01/03/2006 16:00,1,3,2,16,0,15.4833,77.5,0,0,1.73848e+07,6.62325e+08,2.17317e+07,0.0
01/03/2006 17:00,1,3,2,17,0,17.45,69.1667,0,0,4.4405e+07,7.72577e+08,2.20066e+07,0.0
01/03/2006 18:00,1,3,2,18,0,18.025,66.1667,0,0,5.61282e+07,8.22481e+08,2.24515e+07,0.0
01/03/2006 19:00,1,3,2,19,0,16.6167,72.25,0,0,3.28385e+07,6.81223e+08,2.30757e+07,0.0
01/03/2006 20:00,1,3,2,20,0,15.4083,76.5833,0,0,1.16373e+07,4.18337e+08,1.60365e+07,0.0
01/03/2006 21:00,1,3,2,21,0,14.2667,79.9167,15161.4,0,5.8575e+06,3.23967e+08,1.52338e+07,15161.4
01/03/2006 22:00,1,3,2,22,0,13.8917,82,254610,0,3.7519e+06,2.99795e+08,1.30287e+07,254610.0
01/03/2006 23:00,1,3,2,23,0,13.8083,83.75,990351,0,4.68398e+06,2.67093e+08,1.25302e+07,990351.0
01/04/2006 00:00,1,4,3,0,0,14.475,82.0833,1.43186e+06,0,4.02302e+06,2.34697e+08,9.98662e+06,1431860.0
01/04/2006 01:00,1,4,3,1,0,12.9417,85.8333,0,0,1.28904e+06,1.54169e+08,8.13669e+06,0.0
01/04/2006 02:00,1,4,3,2,0,11.6333,91.75,0,0,0,1.21675e+08,5.21318e+06,0.0
01/04/2006 03:00,1,4,3,3,0,10.8083,95.3333,0,0,0,1.16223e+08,1.54079e+06,0.0
01/04/2006 04:00,1,4,3,4,0,10.6833,95.8333,0,0,0,1.17081e+08,0,0.0
01/04/2006 05:00,1,4,3,5,0,11.2167,95,0,0,0,1.17155e+08,0,0.0
01/04/2006 06:00,1,4,3,6,0,11.1833,94.4167,0,0,0,1.24147e+08,1.54075e+06,0.0
01/04/2006 07:00,1,4,3,7,0,11.45,94.5833,5.39047e+07,0,0,2.26142e+08,1.19824e+07,53904700.0
01/04/2006 08:00,1,4,3,8,0,11.8167,94.4167,3.38318e+07,0,0,2.58943e+08,1.25478e+07,33831800.0
01/04/2006 09:00,1,4,3,9,0,11.2583,94.5833,5.95357e+06,0,1.13574e+06,4.4915e+08,1.70724e+07,5953570.0
01/04/2006 10:00,1,4,3,10,0,14.0667,84.5,0,0,1.12695e+07,6.0992e+08,2.33261e+07,0.0
01/04/2006 11:00,1,4,3,11,0,16.4,77.5833,0,0,3.90596e+07,6.58935e+08,2.20008e+07,0.0
01/04/2006 12:00,1,4,3,12,0,18.7333,68.0833,0,0,1.20571e+08,7.64532e+08,2.52563e+07,0.0
01/04/2006 13:00,1,4,3,13,0,21.6833,54.5833,0,0,1.54348e+08,8.1164e+08,2.64545e+07,0.0
01/04/2006 14:00,1,4,3,14,0,21.9,50.5833,0,0,1.54247e+08,7.96228e+08,2.89202e+07,0.0
01/04/2006 15:00,1,4,3,15,0,21.05,52.75,0,0,1.52701e+08,8.0017e+08,2.96074e+07,0.0
01/04/2006 16:00,1,4,3,16,0,19.925,56.9167,0,0,1.52173e+08,8.26515e+08,2.19171e+07,0.0
01/04/2006 17:00,1,4,3,17,0,18.6,61.3333,0,0,1.17322e+08,8.49176e+08,2.20422e+07,0.0
01/04/2006 18:00,1,4,3,18,0,17.1083,65.9167,0,0,6.2963e+07,8.4326e+08,2.22981e+07,0.0
01/04/2006 19:00,1,4,3,19,0,15.4083,75,0,0,2.05976e+07,6.74615e+08,2.32536e+07,0.0
01/04/2006 20:00,1,4,3,20,0,13.3583,85.25,0,0,4.83185e+06,4.01187e+08,1.58754e+07,0.0
01/04/2006 21:00,1,4,3,21,0,12.8083,89.5833,0,0,3.61006e+06,2.94284e+08,1.52604e+07,0.0
01/04/2006 22:00,1,4,3,22,0,11.8167,92.3333,119146,0,1.96517e+06,2.70302e+08,1.30345e+07,119146.0
01/04/2006 23:00,1,4,3,23,0,10.9,95.75,1.50007e+06,0,1.90249e+06,2.41932e+08,1.26615e+07,1500070.0
01/05/2006 00:00,1,5,4,0,0,10.4917,98.1667,2.91835e+06,0,1.52292e+06,2.14934e+08,9.991e+06,2918350.0
01/05/2006 01:00,1,5,4,1,0,10.0833,99.5833,0,0,0,1.4218e+08,8.0273e+06,0.0
01/05/2006 02:00,1,5,4,2,0,10,100,0,0,0,1.22035e+08,5.31983e+06,0.0
01/05/2006 03:00,1,5,4,3,0,10.0583,100,0,0,0,1.20416e+08,1.54066e+06,0.0
01/05/2006 04:00,1,5,4,4,0,9.98333,100,0,0,0,1.20683e+08,0,0.0
01/05/2006 05:00,1,5,4,5,0,9.78333,100,0,0,0,1.20498e+08,0,0.0
01/05/2006 06:00,1,5,4,6,0,10.3417,100,0,0,0,1.21525e+08,1.54049e+06,0.0
01/05/2006 07:00,1,5,4,7,0,11.9667,100,4.66268e+07,0,0,2.18858e+08,1.19964e+07,46626800.0
01/05/2006 08:00,1,5,4,8,0,12.6833,100,2.76052e+07,0,718726,2.55547e+08,1.24406e+07,27605200.0
01/05/2006 09:00,1,5,4,9,0,14.175,97.6667,4.66972e+06,0,5.86776e+06,4.79605e+08,1.72236e+07,4669720.0
01/05/2006 10:00,1,5,4,10,0,16.2917,94.8333,0,0,3.53527e+07,6.47893e+08,2.33618e+07,0.0
01/05/2006 11:00,1,5,4,11,0,15.6583,95.1667,0,0,2.55563e+07,6.32295e+08,2.19024e+07,0.0
01/05/2006 12:00,1,5,4,12,0,15.4583,93.0833,0,0,1.9174e+07,6.28859e+08,2.53927e+07,0.0
01/05/2006 13:00,1,5,4,13,0,17.6917,81.0833,0,0,6.22511e+07,6.74179e+08,2.65614e+07,0.0
01/05/2006 14:00,1,5,4,14,0,20.3583,64.6667,0,0,1.42721e+08,7.66625e+08,2.90425e+07,0.0
01/05/2006 15:00,1,5,4,15,0,21.4583,55.0833,0,0,1.52795e+08,7.78152e+08,2.93213e+07,0.0
01/05/2006 16:00,1,5,4,16,0,20.8,55.3333,0,0,1.43956e+08,7.8289e+08,2.21561e+07,0.0
01/05/2006 17:00,1,5,4,17,0,19.1917,61.6667,0,0,1.07358e+08,8.37803e+08,2.19831e+07,0.0
