Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,1.15289e+07,0,120892,1.84392e+08,0,11528900.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,1.18252e+07,0,179138,1.88799e+08,0,11825200.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,1.5039e+07,0,119014,1.90158e+08,1.60237e+06,15039000.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,1.50441e+07,0,121779,1.91961e+08,0,15044100.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,1.75294e+07,0,117038,1.96827e+08,1.53382e+07,17529400.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,1.54407e+07,0,150377,1.93642e+08,7.64327e+06,15440700.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,1.217e+07,0,44607.8,2.11534e+08,9.66409e+06,12170000.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,1.04941e+07,0,72467.9,1.76117e+08,1.17533e+07,10494100.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,1.01147e+07,0,154402,1.50524e+08,9.84732e+06,10114700.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,7.98313e+06,0,124039,1.38679e+08,9.85804e+06,7983130.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,9.21027e+06,0,131283,1.43125e+08,1.19066e+07,9210270.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,8.12666e+06,0,117766,1.43217e+08,1.05018e+07,8126660.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,9.41894e+06,0,81397.1,1.44468e+08,1.17604e+07,9418940.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,7.70775e+06,0,87248.8,1.3732e+08,1.31966e+07,7707750.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,9.1862e+06,0,103836,1.3886e+08,1.14567e+07,9186200.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,8.73044e+06,0,147674,1.39281e+08,1.15202e+07,8730440.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,1.01858e+07,0,126103,1.51706e+08,1.01482e+07,10185800.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,8.63774e+06,0,122935,1.95054e+08,9.67059e+06,8637740.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,1.23583e+07,0,165142,2.05338e+08,9.50555e+06,12358300.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,1.06778e+07,0,138012,2.00101e+08,1.88151e+06,10677800.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,1.09488e+07,0,173025,2.01774e+08,1.60264e+06,10948800.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,9.1008e+06,0,191628,1.95423e+08,0,9100800.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,9.40757e+06,0,83460.8,1.96072e+08,1.60235e+06,9407570.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,9.35221e+06,0,233113,1.99617e+08,0,9352210.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,1.51533e+08,0,933800,5.07632e+08,1.7526e+07,151533000.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,5.49762e+06,0,118562,1.82834e+08,7.89513e+06,5497620.0
01/02/2006 03:00,1,2,1,3,0,3.175,82.9167,7.34437e+06,0,193312,1.78079e+08,1.60267e+06,7344370.0
01/02/2006 04:00,1,2,1,4,0,3.475,78.25,8.38736e+06,0,124004,1.84533e+08,0,8387360.0
01/02/2006 05:00,1,2,1,5,0,3.83333,79.3333,8.01699e+06,0,70698,1.8083e+08,1.60259e+06,8016990.0
01/02/2006 06:00,1,2,1,6,0,3.70833,82.1667,1.14377e+08,0,998702,3.48824e+08,0,114377000.0
01/02/2006 07:00,1,2,1,7,0,3.61667,82.4167,1.13184e+08,0,605656,4.89311e+08,1.4587e+07,113184000.0
01/02/2006 08:00,1,2,1,8,0,3.875,80.8333,1.0596e+08,0,380116,5.42219e+08,1.30685e+07,105960000.0
01/02/2006 09:00,1,2,1,9,0,4.58333,77.0833,5.49478e+07,0,0,8.69297e+08,2.12668e+07,54947800.0
01/02/2006 10:00,1,2,1,10,0,5.23333,72.6667,3.64697e+06,0,404652,1.19211e+09,2.94159e+07,3646970.0
01/02/2006 11:00,1,2,1,11,0,5.98333,66.9167,397472,0,641946,1.17893e+09,2.90579e+07,397472.0
01/02/2006 12:00,1,2,1,12,0,7.15833,62.8333,0,0,946336,1.16467e+09,3.0335e+07,0.0
01/02/2006 13:00,1,2,1,13,0,8.51667,69,0,0,1.10237e+06,1.16721e+09,3.31065e+07,0.0
01/02/2006 14:00,1,2,1,14,0,9.33333,79.25,0,0,1.3572e+06,1.16556e+09,3.7377e+07,0.0
01/02/2006 15:00,1,2,1,15,0,10.4333,78.3333,0,0,2.4441e+06,1.17227e+09,3.92634e+07,0.0
01/02/2006 16:00,1,2,1,16,0,11.3917,73.8333,0,0,1.00013e+07,1.2159e+09,3.47742e+07,0.0
01/02/2006 17:00,1,2,1,17,0,10.6667,78.25,0,0,1.57491e+07,1.26081e+09,2.56034e+07,0.0
