,year,Month,day,Hour,minute,SiteOutdoorAirDrybulbTemperature,dew_point,SiteOutdoorAirRelativeHumidity,datetime,DayOfYear,dayofweek,DayofWeek,floor_area,floor_height,number_of_stories,building_rotation,aspect_ratio,overall_wwr,hours_of_operation_start_time,hours_of_operation_duration,lpd,epd,people_average,heating_source,target_standard,building_type,B0_Elec,B0_Gas,B1_Elec,B1_Gas,B2_Elec,B2_Gas,B_All_Elec
0,1997,1,1,1,0,1.9,-3.0,68.0,1/1/2017 0:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,30.19350138888889,0.014474405355555556,34.75670972222222,0.03827458862777778,22.311168055555555,0.6902680483055555,87.26137916666667
1,1997,1,1,2,0,1.2,-4.4,63.0,1/1/2017 1:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,29.447890277777777,0.0024972664944444443,35.482077777777775,0.023770958544444443,20.88665,0.5827994360444444,85.81661805555555
2,1997,1,1,3,0,0.6,-4.3,67.0,1/1/2017 2:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,28.834005555555557,0.001909146215,36.333308333333335,0.021442192722222222,20.09084861111111,0.8197788913999999,85.2581625
3,1997,1,1,4,0,0.3,-4.6,67.0,1/1/2017 3:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,31.63157361111111,0.055616533561111105,36.151494444444445,0.02492019596666667,20.11124861111111,0.8816594257222222,87.89431666666667
4,1997,1,1,5,0,-0.1,-5.4,64.0,1/1/2017 4:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,30.008140277777777,0.08560818416111111,34.94371666666667,0.08487798298888888,22.608166666666666,1.5992390886666665,87.5600236111111
5,1997,1,1,6,0,-0.2,-5.4,65.0,1/1/2017 5:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,36.86401111111111,0.06977341914444445,50.80914722222222,0.06814211825,46.948188888888886,2.0995124996666665,134.62134722222223
6,1997,1,1,7,0,-0.2,-5.7,63.0,1/1/2017 6:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,37.05240277777778,0.0719021849,37.10780555555556,0.08189637361666667,38.0685,2.3665330132777775,112.22870833333334
7,1997,1,1,8,0,-0.1,-5.2,65.0,1/1/2017 7:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,37.15246388888889,0.07365235134444445,36.52823333333333,0.08413986787222222,31.391434722222222,1.9004785028888889,105.07213194444444
8,1997,1,1,9,0,0.0,-4.7,67.0,1/1/2017 8:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,35.43300833333333,0.07501475820555556,36.36379027777778,0.08171367049444445,30.74063888888889,1.7586127082777778,102.53743750000001
9,1997,1,1,10,0,0.0,-4.3,70.0,1/1/2017 9:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,35.4559,0.07602828806666667,36.26266527777778,0.08077914738888889,30.74063888888889,1.8840812886277778,102.45920416666667
10,1997,1,1,11,0,0.3,-3.5,73.0,1/1/2017 10:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,31.318281944444443,0.07634246692222223,31.894404166666668,0.08244544971666666,26.58975138888889,1.6573011447944443,89.8024375
11,1997,1,1,12,0,0.3,-4.0,70.0,1/1/2017 11:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,31.42898611111111,0.07878790892777777,32.577,0.08326899752222222,25.961431944444445,0.97515211635,89.96741805555556
12,1997,1,1,13,0,0.0,-3.7,73.0,1/1/2017 12:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,34.4604375,0.07839407882777777,35.785804166666665,0.08376939575555556,30.10914861111111,0.9089228742944444,100.35539027777777
13,1997,1,1,14,0,0.0,-4.0,72.0,1/1/2017 13:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,35.603723611111114,0.0784417473111111,37.73110972222222,0.08296014991666667,30.499330555555556,0.8582307429055555,103.8341638888889
14,1997,1,1,15,0,0.1,-3.3,75.0,1/1/2017 14:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,34.41418888888889,0.0784417473111111,36.131166666666665,0.08379309493888888,30.36353888888889,0.8680528483500001,100.90889444444443
15,1997,1,1,16,0,0.3,-2.9,77.0,1/1/2017 15:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,31.1031125,0.07646032308888889,32.85075694444444,0.08262480718333333,26.481602777777777,1.0132350121833333,90.43547222222222
16,1997,1,1,17,0,0.4,-2.5,79.0,1/1/2017 16:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,31.005997222222224,0.07233281247222222,33.350854166666664,0.07893027936666668,27.20519722222222,1.122495118738889,91.56204861111111
17,1997,1,1,18,0,0.7,-2.0,81.0,1/1/2017 17:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,32.21655277777778,0.06967250450555555,35.519079166666664,0.07736589632222222,29.069558333333333,1.1903186651833333,96.80519027777777
18,1997,1,1,19,0,1.1,-1.2,84.0,1/1/2017 18:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,35.72323055555555,0.06785338248888889,44.487075,0.07129281117777778,35.2503125,0.9717896851277776,115.46061805555556
19,1997,1,1,20,0,1.4,-0.9,84.0,1/1/2017 19:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,35.97893333333333,0.020783923144444442,43.24404722222222,0.019267402877777777,35.9440125,0.9957815422388888,115.16699305555555
20,1997,1,1,21,0,1.8,-0.2,86.0,1/1/2017 20:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,36.41079722222222,0.00920011206111111,44.55595,0.008082539894444444,36.3078375,1.0823381771,117.27458472222222
21,1997,1,1,22,0,2.1,-0.1,85.0,1/1/2017 21:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,35.63724027777778,0.009343908905555556,42.45731111111111,0.008956471566666667,34.28465694444444,0.9892330659777777,112.37920833333334
22,1997,1,1,23,0,2.3,0.0,85.0,1/1/2017 22:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,35.088297222222224,0.009343908905555556,41.55549166666667,0.008956471566666667,33.78259583333333,1.0534574642222223,110.42638472222222
23,1997,1,1,24,0,2.8,0.3,84.0,1/1/2017 23:00,001,Sunday,0,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,30.710569444444445,0.009495733427777778,30.868088888888888,0.008956471566666667,26.711405555555555,0.8074718405722222,88.2900638888889
24,1997,1,2,1,0,2.9,0.5,84.0,1/2/2017 0:00,002,Monday,1,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,38.131770833333334,0.011840635166666667,127.750125,0.10278353819444444,32.23618472222222,0.9434107021111111,198.11808055555554
25,1997,1,2,2,0,3.0,1.0,87.0,1/2/2017 1:00,002,Monday,1,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,32.18111388888889,0.0033992329594444443,97.06095833333333,0.10313518744444443,31.70859861111111,1.1113861632777777,160.95067083333333
