,downsample,regressor__max_depth,response,regressor__max_features,regressor__min_samples_leaf,regressor__min_samples_split,regressor__n_estimators,mean_train_score,mean_test_score,mean_fit_time,mean_score_time,rank_test_score
0,0.05,,ElectricityFacility,0.5,1,3,50,0.9949449115877577,0.9721269200658068,9.150203386942545,0.3124078909556071,10
1,0.05,,ElectricityFacility,0.5,1,3,100,0.995311295646962,0.9729936431020185,18.71852485338847,0.6460026899973551,9
2,0.05,,ElectricityFacility,0.5,1,5,50,0.9924056474721965,0.9711784580447428,8.772137324015299,0.29604800542195636,12
3,0.05,,ElectricityFacility,0.5,1,5,100,0.9927490733470122,0.9717805453124054,17.283584276835125,0.5714069207509359,11
4,0.05,,ElectricityFacility,0.5,2,3,50,0.991307766532635,0.9702729487150021,8.604091008504232,0.30083076159159344,14
5,0.05,,ElectricityFacility,0.5,2,3,100,0.9915572417730639,0.9708824847394478,18.128364721934002,0.7249403794606527,13
6,0.05,,ElectricityFacility,0.5,2,5,50,0.9902432632988916,0.9699187359755025,8.311920324961344,0.2896386782328288,16
7,0.05,,ElectricityFacility,0.5,2,5,100,0.990618357221999,0.9701858973402149,19.810335636138916,0.6351527372996012,15
8,0.05,,ElectricityFacility,0.75,1,3,50,0.9957661129357057,0.9754525574859924,16.0246954758962,0.3986542224884033,2
9,0.05,,ElectricityFacility,0.75,1,3,100,0.9960380598901676,0.9757085030686622,33.86788169542948,0.8527404467264811,1
10,0.05,,ElectricityFacility,0.75,1,5,50,0.9938269119851494,0.9742823292484429,15.361958662668863,0.47064439455668133,5
11,0.05,,ElectricityFacility,0.75,1,5,100,0.994017338708327,0.974499406859342,32.58897256851196,0.7623593807220459,3
12,0.05,,ElectricityFacility,0.75,2,3,50,0.9929239335280285,0.9735773299605343,15.855021397272745,0.3937699794769287,7
13,0.05,,ElectricityFacility,0.75,2,3,100,0.9933635989205784,0.97444477093347,32.73634282747904,0.7762600580851237,4
14,0.05,,ElectricityFacility,0.75,2,5,50,0.9922175708658711,0.9737690923453002,16.262773752212524,0.3949140707651774,6
15,0.05,,ElectricityFacility,0.75,2,5,100,0.9924322205726804,0.9735252331780271,33.07612140973409,0.7973243395487467,8
16,0.05,3.0,ElectricityFacility,0.5,1,3,50,0.43653739716112844,0.4349619681519809,2.644685983657837,0.1261474291483561,33
17,0.05,3.0,ElectricityFacility,0.5,1,3,100,0.4324430053321091,0.431374168206772,5.2512039343516035,0.1802077293395996,39
18,0.05,3.0,ElectricityFacility,0.5,1,5,50,0.43149994750177095,0.4296441744269075,2.7206616401672363,0.1309084097544352,40
19,0.05,3.0,ElectricityFacility,0.5,1,5,100,0.434556765526047,0.43319098837585784,5.727962255477905,0.1904920736948649,34
20,0.05,3.0,ElectricityFacility,0.5,2,3,50,0.43413099574679664,0.43255206344495917,2.9364110628763833,0.12899208068847656,35
21,0.05,3.0,ElectricityFacility,0.5,2,3,100,0.43312645760597457,0.43148383979689453,5.7261803150177,0.19298768043518066,38
22,0.05,3.0,ElectricityFacility,0.5,2,5,50,0.433728650970665,0.431804103269486,2.9269443353017173,0.12694207827250162,37
23,0.05,3.0,ElectricityFacility,0.5,2,5,100,0.4333580178746123,0.4318109680807732,5.494184652964274,0.17438324292500815,36
24,0.05,3.0,ElectricityFacility,0.75,1,3,50,0.4297698035904831,0.42785857107593533,3.8570258617401123,0.11530248324076335,41
25,0.05,3.0,ElectricityFacility,0.75,1,3,100,0.42577476165581224,0.42411763785079565,7.480939070383708,0.1881252924601237,42
26,0.05,3.0,ElectricityFacility,0.75,1,5,50,0.42062036304608347,0.41808780223736974,3.7641332149505615,0.12106045087178548,48
27,0.05,3.0,ElectricityFacility,0.75,1,5,100,0.42562274932980876,0.42346794152555317,7.700162013371785,0.18988831837972006,43
28,0.05,3.0,ElectricityFacility,0.75,2,3,50,0.42226258131050115,0.4202435497833959,3.9623259703318277,0.12446872393290202,47
29,0.05,3.0,ElectricityFacility,0.75,2,3,100,0.4241507768218262,0.4224547744095309,7.498937288920085,0.1791264216105143,45
30,0.05,3.0,ElectricityFacility,0.75,2,5,50,0.4244204071112201,0.4226731434884276,3.7375869750976562,0.11944858233133952,44
31,0.05,3.0,ElectricityFacility,0.75,2,5,100,0.4230053055230944,0.42077304688112865,7.21868109703064,0.1626142660776774,46
32,0.05,6.0,ElectricityFacility,0.5,1,3,50,0.7362623033748624,0.7314131462423821,4.609368880589803,0.15098969141642252,19
33,0.05,6.0,ElectricityFacility,0.5,1,3,100,0.7370582212952025,0.731892265361239,8.925313472747803,0.2420965830485026,18
